Title,Likes,Singer,Lyrics
SUNSET,"1,694",수진,"Oh day or night
그 틈 사이의 빛
구름결 따라 번져가
Oh day or night
나를 부르는
작은 파도와
만날 Timing

네가 떠오를 때마다 색칠해
파란 하늘 위로 쌓아
All day all night
더 깊어져 가
너를 담아낸 노을이야

Dara du du du 이 시간
In my eyes
I'll keep this forever and more oh baby

저 붉은빛의 Highway
나를 너에게로 이끌어
오렌지빛의 향기에
노란 빛깔처럼 예쁜 너의 미소

그림자도 길어져
빨리 보고 싶어 그래
너를 닮은 눈부신 Sunset
사라지기 전에 네게 갈래

Oh day or night
선명해진 빛
경계선 너머 뒤섞이듯
Oh 너와 나
설렘만 남아
좁히는 거리
좀 더 가까이

태양 빛 속에 달빛이 물들 때
네 품 안에 안기며 바랄게
찰나 같은 순간이 영원하길 Oh yeah
아름다워

Dara du du du 이 시간
In my eyes
I'll keep this forever and more oh baby

저 붉은빛의 Highway
나를 너에게로 이끌어
오렌지빛의 향기에
노란 빛깔처럼 예쁜 너의 미소

그림자도 길어져
빨리 보고 싶어 그래
너를 닮은 눈부신 Sunset
사라지기 전에 네게 갈래"
I Feel Love,355,THAMA,"so much of a joy we had
without some special reasons
throughout the seasons of toughness
here we are, back again with love
only have good memories

I feel love baby
to hold each other's hands
is all we can do

I feel love oh
when there's a sudden wave of fear
let come
the world is getting brighter
when we sing together oh
nothing matters at all
feel this song
and walk on once more

oh I need the place and the memories
of us
I need my voice to sing this one to you

I feel love baby
to hold each other's hands
is all we can do

I feel love oh
when there's a sudden wave of fear
let come
the world is getting brighter
when we sing together
nothing matters at all
feel this song
and walk on once more"
Waiting 4 U (Feat. Jayroh),92,지영씨 (Jiyoungssi),"Waiting for you
천천히 기다릴 수 있어
궁금해도
널 떠올리면 나 견딜 수 있어
I wish you love babe
이 꿈속에선
Baby, Be mine
Baby, Be mine
맴돌아 매번
넌 필요 없게 해 아무것도
I Just wanna know
You can call me baby
You can call me baby
Baby 내게 말해줘
I've been thinking 'bout you
You can call me baby
You can call me baby
Baby 내게 말해줘
I've been looking for love
I want to know why
I got you, I got you,
I Know you say
너 맘대로 run away or stay
기다려 난 I swear
넌 그런 날 모른 척해도 돼
아니면 안아줘 그 넓은 품 속에
I don't know way
뻔한 사랑 해답 속에
I know that you're
running out of time (out of time)
시간은 기다려주질 않아_
But I've been waiting for you
Send all my loving to you
시간은 가는데 아직도 망설였어 why
And now that I'm in love with you
You're the kind of girl
I've been waiting for my whole life
So Imma remind you that
I'm gon' be there for you
No matter whatever you go through
I'm only nothing without you cause
No one compares to you
시간이 달아나기 전에 날 그냥 꼭 안아줘
You can call me baby
You can call me baby
Baby 내게 말해줘
I've been thinking 'bout you
You can call me baby
You can call me baby
Baby 내게 말해줘
I've been looking for love
I want to know why
I don't know why
It's like a puzzle game
I will tell you why you should love me
Late at night
너와 길을 잃어도 돼
I wonder why you stay
Call me baby
You can call me baby
Baby 내게 말해줘
I've been thinking 'bout you
You can call me baby
You can call me baby
Baby 내게 말해줘
I've been looking for love
I want to know why
너는 어느 별에서 왔니
저기 빛나고 있지
이리 와 내게 only
so baby be mine
너는 어느 별에서 왔니
저기 빛나고 있지
내게 말해주겠니
I just wanna know"
La Rouge (Special Track),"14,298",Red Velvet (레드벨벳),"Listen up

두 눈이 마주치면
표정에 설렘을 숨기지 못해
중력에 끌리듯이
(내게 넌 끌려)
눈길은 See me through
그 애타는 맘 느껴져

한 걸음 한 걸음
우리 둘 사일 좁혀가
눈빛으로 너를 Touch

셋을 세면 빠져들어 빠져들어
너는 내게
어느새 넌 스며들어 스며들어
꿈처럼 깊게
밤을 수놓은 불꽃보다
더 붉게 타올라
기대해도 괜찮아
아름답게 Shining shining
For you babe

For you babe yeah
You’re falling for me aaah

내게 집중해
숨 막히게 (You know)
난 피어날래
너의 맘속에
새빨간 빛으로
너를 물들일래 곧
와인처럼 취하게 만들래

한 걸음 한 걸음
마주친 눈에 아득해
네 맘 아슬하게 Touch

셋을 세면 빠져들어 빠져들어
너는 내게
어느새 넌 스며들어 스며들어
꿈처럼 깊게
밤을 수놓은 불꽃보다
더 붉게 타올라
기대해도 괜찮아
아름답게 Shining shining
For you babe

Yeah ‘cause here we go babe!
화려한 그 눈빛 속에 비친
이 밤을 위한
Diamonds and red dress
이 순간 Focus on me
I’m gonna be,
I’m gonna be shining

끝도 없이 빠져들어 빠져들어
너는 내게
틈도 없이 스며들어 스며들어
꿈처럼 내게
작은 불길이 번지다가
뜨겁게 태워가
Are you ready for tonight?
밤새도록 Shining shining

셋을 세면 빠져들어 빠져들어
너는 내게
어느새 넌 스며들어 스며들어
꿈처럼 깊게
밤을 수놓은 불꽃보다
더 붉게 타올라
기대해도 괜찮아
아름답게 Shining shining
For you babe"
그건 너,"1,629",신유미,"모두들 잠들은 고요한 밤에
어이해 나 홀로 잠 못 이루나
넘기는 책 속에 수많은 글들이
어이해 한 자도 보이질 않네
그건 너
그건 너
어제는 비 오는 홍대 거리를
우산도 안 덮고 혼자 걸었네
우연히 마주친 친구 녀석이
너 미쳤니 하면서 껄껄 웃더군
그건 너 그건 너 바로 너 때문이야
그건 너 그건 너 바로 너 때문이야
모두들 잠들은 고요한 밤에
어이해 나 홀로 잠 못 이루나
넘기는 책 속에 수많은 글들이
어이해 한 자도 보이질 않나
그건 너 그건 너
바로 너 때문이야
그건 너 그건 너
바로 너 때문이야
그건 너 그건 너
바로 너 때문이야
그건 너 그건 너 바로 너
그건 너 그건 너
모두들 잠들은 고요한 밤에
어이해 나 홀로 잠 못 이루나
그건 너"
Drunk All Night,"1,056",윤누구,"Can I keep it my life
난 자신 없어
When I from errbody
나가고 싶었어
책상다리 박차고 침 뱉고 욕하고
올라갔던 네 손에
뺨 맞기 전에 꽉 잡고
삼켰던 내 맘을 다 토하고 싶어
살려줘 네 앞에서 난 작아지고
결국 사라지죠 이리도 망가진 몸을
부여잡고 네 앞에서 말하지
담배 한 대를 물고 술 몇 잔을 불어
깔렸던 눈은 널 향해
초점을 zoom on
약했던 난 죽여놓고
목 놓고 울어 더
Drunk All Night
안 지쳤어 날 좀 냅둬 줘 너나 잘
하라고 좀 똑바로 살아 난폭해 난
오늘 밤 하찮은 나로 술잔을 따라
죽기 전 나 숨 좀 쉬게
Drunk All Night
안 지쳤어 날 좀 냅둬 줘 너나 잘
하라고 좀 똑바로 살아 난폭해 난
오늘 밤 하찮은 나로 술잔을 따라
죽기 전 나 숨 좀 쉬게
술 팔아 번 돈 술 사 먹어
난 밤 낮이 완전히 바뀌어버려
몇 년만 밤새우며 빡세게 벌어
얼른 관두잔 말만
입에 붙어버렸어 난
다시 또 억지로 쓴 가면이
벗겨지지 않도록 더 버티고
맘은 썩지
더 이상 떨어질 곳도 없어 여기선
너네 전부 미친 거 같아
내가 문제란 말들은 stop it
내 몸에 새겨진 각인들을
가려내고 살아가 내 life
건배
In hell
Go away
담배 한 대를 물고
술 몇 잔을 불어
깔렸던 눈은
널 향해 초점을 zoom on
약했던 난 죽여놓고
목 놓고 울어 더
Drunk All Night
안 지쳤어 날 좀 냅둬 줘 너나 잘
하라고 좀 똑바로 살아 난폭해 난
오늘 밤 하찮은 나로 술잔을 따라
죽기 전 나 숨 좀 쉬게
Drunk All Night
안 지쳤어 날 좀 냅둬 줘 너나 잘
하라고 좀 똑바로 살아 난폭해 난
오늘 밤 하찮은 나로 술잔을 따라
죽기 전 나 숨 좀 쉬게
그냥 그만할래 다
거짓말 마
진심이었는데 난
다 거지 같다고
이렇게 끝날 거면 난
정 없이 다 떠나야 할 텐데
그냥 그만할래 다
거짓말 마
진심이었는데 난
다 거지 같다고
이렇게 끝날 거면 난
정 없이 다 떠나야 할 텐데"
See U Hurt,62,용준형,"아무렇지 않은 척 내 품에 안긴 너의
작은 떨림을 난 느낄 수 있어
샘이 많은 세상이 할퀴어낸 상처들이
아물기도 전에 또다시 널 아프게 하고 있잖아

I'm fine
I'm used to getting hurt
이 못난 사랑 때문에 씩씩해지는 네가
그 어떤 것보다 아파

Don't act like you’re strong
Don't act like you’re fearless
그 작은 손으로
날 지켜주겠다는 말이 다 뭐야
I know deep inside
소리 없이 흐르는 그 눈물을 이젠 보여도 돼

Don't forget that we're together
Don't forget that we're together
Don't forget that we're together

Don't forget that we're together
Don't forget that we're together
Don't forget that we're together

괜찮아 너 하나면
I'm fine
I'm used to getting hurt
이 못난 사랑 때문에 씩씩해지는 네가
그 어떤 것보다 아파

Don't act like you’re strong
Don't act like you’re fearless
그 작은 손으로
날 지켜주겠다는 말이 다 뭐야
I know deep inside
소리 없이 흐르는 그 눈물을 이젠 보여도 돼

난 널 지킬게
넌 널 지키면 돼"
Blue Day,"3,990",브라운 아이드 소울,"겨우 몇일이 지나갔을 뿐인데
단지 니가 떠나갔을 뿐인데
왜 이렇게 세상이 낯서니
머리없이 살게 되면
좋겠어 차라리
니곁에 만들던 추억을 모르게
우리 만난 그날부터
백지처럼 지우게
널 되돌릴 힘 없는 날 위해
한걸음씩 멀어져가
우리 같은 시간 다른 공간 속에서
한걸음씩 엇갈려가
넌 날 잊어 가고
난 널 그리워하다 뒤척이다
오 하루가 가
가슴없이 숨을 쉬면
좋겠어 영원히
내품에 안았던 행복을 모르게
혼자 가슴에 베고 마는
사랑까지 버리게
널 붙잡을수 없는 날위해
한걸음씩 멀어져가
우린 같은 시간 다른 공간속에서
한걸음씩 달려가
넌 날 잊어 가고 난
널 그리워하다 하루가 가
꿈에라도 볼까봐
너의 자릴 애써 지키고 있어
니가 후회 될까봐
내게 미안할까봐
늦어도 올까봐
한걸음씩 멀어져가
우린 같은 이별 다른 사랑속에서
또 남처럼 변해가
넌 나 없이 웃고 난
널 잊을 수 없어 눈물 짓다
오 하루가 가"
유리창엔 비,753,SG 워너비,"낮부터 내린 비는
이 저녁 유리창에
이슬만 뿌려 놓고서
밤이 되면 더욱 커지는
시계 소리처럼
내 마음을 흔들고 있네
이 밤 빗줄기는 언제나
숨겨놓은 내 마음에 비를 내리네
떠오른 아주 많은 시간들 속을
헤메이던 내 맘은 비에 젖는데
이젠 젖은 우산을 펼수는 없는 것
낮부터 내린 비는
이 저녁 유리창에
슬픔만 뿌리고 있네
이 밤 마음속에 언제나
남아있던 기억을 빗줄기처럼
떠오는 기억 스민 순간 사이로
내 마음은 어두운 비를 뿌려요
이젠 젖은 우산을 펼수는 없는 것
낮부터 내린 비는
이 저녁 유리창에
슬픔만 뿌려 놓고서
밤이 되면 유리창에
내 슬픈 기억들을
이슬로 흩어 놓았네"
조금만 더 방황하고 (Feat. Crucial Star),"10,494",헤이즈 (Heize),"우리 조금만 더
방황하고 다시 만나 더
행복하게 살아갈 수만 있다면
그렇게라도
너와 내가 서로의
마지막이 될 수 있게
우리 조금만 헤매다가
다시 만나자
요즘 들어 다투는
횟수가 더 잦아졌지
함께 있어도 오가는
말 수는 적어졌지
내가 너에게 바라는 게
너에게는 억지
처럼 들렸을지도 몰라
서로가 지쳤지
여전히
난 너와 둘이 함께인 순간이
너의 커다란 손에
이끌려 걷는 이 길이
가장 행복해 but
우리는 또 왜
맘에도 없는 말을 내뱉으며
상처를 남기니
상처만 남기니
의심은 더욱 커져가네
운명이 아닐지도 몰라 우린
어젯밤에 장난처럼 뱉은
방황해보자고 했던 말이
섬뜩하게 비수처럼
다가오는 오늘 아침
미안해 숨길 수 없었어
넌 잘 알잖아
거짓말할 때 난 티나는 거
진지해진 분위기에
마음이 쓰려오네
선인장 같은 너라도
난 널 안고 싶기에
우리 조금만 더
방황하고 다시 만나 더
행복하게 살아갈 수만 있다면
그렇게라도
너와 내가 서로의
마지막이 될 수 있게
우리 조금만 헤매다가
다시 만나자
널 너무 사랑하지만
그래 사랑하니까
우리에겐 어떤 시간이
좀 필요한 것 같애
너는 나의 온기
또 나는 너의 향기가
그리워질 때 쯤
다시 사랑하기로 해
사실 난 매일 가던 길도
너 없이는 두려워 난
너도 내가 없는
평생은 자신 없잖아
모든 방황을 끝내고
다시 내게로 와
나를 다시 안아줘
안아줘야할 순간에
함께해야할 순간에
항상 난 다른 곳에 있었고
넌 지쳐갔네
I was blind
거대한 너의 사랑은 보지 못한 채
항상 더 많은걸 바랬던 날
부디 용서해 my love
너무 큰 사랑을 빚진 나
다시 돌아올 내 품이란 걸 잊지 마
널 행복하게 해줄 수 있는
모든 걸 갖춘 채로
나타날게 girl I'm leavin' now
우리 조금만 더
방황하고 다시 만나 더
행복하게 살아갈 수만 있다면
그렇게라도
너와 내가 서로의
마지막이 될 수 있게
우리 조금만 헤매다가
다시 만나자
I don't wanna leave you
I don't wanna leave you
I don't wanna leave you
I don't wanna leave you now baby
I don't wanna leave you
I don't wanna leave you
I don't wanna leave you
I don't wanna leave you now baby"
