Title,Likes,Singer,Lyrics
돌아갈게,"3,458",이한울,"이 자리 그대로
넌 여기에 계속
시작이랑 똑같은 눈으로
날 채워
나 벌어올게 배로
girl you know im from getto
돈을 벌자는 말만이
오늘도 깨워 날
알잖아 내가 하는 일
음악 아니 모두 다
손에 돈을 한가득 쥔
성공 아니면 못 돌아가
내 주위 모두에게 했던
약속부터 행동 전부가
널 위한 거였다는 걸
너 너는 알고 있잖아
너는 마치 담배
내 입에 닿았던 게
연기처럼 흩어져가 매일
그니까 다시 말해
너는 담배 같아
당연히 남아 있던 게
끝이 보여 내일은
그런 거 말고 그냥
내 마음처럼
영원해달라고
그 목에 다이아처럼
기다려 내가
다시 돌아올게
우리가 아직
어렸던 그때같이
이 자리 그대로
넌 여기에 계속
시작이랑 똑같은 눈으로
날 채워
나 벌어올게 배로
girl you know im from getto
돈을 벌자는 말만이
오늘도 깨워 날
돌아갈게 너의 품 안에
넌 지금 그대로 있어줌 돼
언제든 내 마음 한켠엔
네 자리가 있단 걸 기억해 줄래
돌고 돌아서 온 네 옆이잖아
그때 준다 했던 전부가 멀지 않아
영원히 내 옆에서 내가 그때 반한
그 미소를 띠어주면 된단 말야
그거 하나면 난 된단 말야
난 널 위해서 오늘을 산단 말야
날 떠나도 좋으니 날 잊지 말아
내가 지금 모자란 건 내가 잘 알아
내가 더 빛나는 더 높은 위치에
널 태울 rari부터 방이 많은 집
모두가 널 부러워할 수 있게
전부 이뤄 올 테니
그날이 오면 나를 받아주겠니
세상은 빠르고 날 빼고 돌아
사람은 변하고 보통 날 떠나
지난 내 모든 게 잘나진 못했지만
나는 그저 원해 그 안정
또는 너와의 영원함
나는 몇 년을 똑같이 살아
마음만이 길어져 버린
내 머리만큼 자라
내가 없는 하루에 넌 어떻게 살아
혹시 내가 떠오르면 걸어주라 전화
이 자리 그대로 넌 여기에 계속
시작이랑 똑같은 눈으로 날 채워
네 모습을 기억하며 나는 사랑을 배워
너와 비슷한 아픔은 다시 나를 깨워
이 돈을 다 부어도 너의 얘길 적어도
너에게 내가 닿지 않을까 봐
변하지 않겠다 다짐했던 날 두고서
너마저 나를 떠난 모두와 같아질까 봐
내가 먼저 말을 건넨 그날도
우연히 우리 멀어진 그날도
전부 오해라며 내가 한 그 말도
돌아보니 전부 후회에 담겨
있잖아 같은 말로 입을 떼봐도
다음 단어부터 난 입이 닫혀
걱정 마 늦기 전에 돌아갈게
비록 내가 다쳐도 그때까지
너의 마음만 그대로 안 닫혀줘
이 자리 그대로
넌 여기에 계속
시작이랑 똑같은 눈으로
날 채워
나 벌어올게 배로
girl you know im from getto
돈을 벌자는 말만이
오늘도 깨워 날
돌아갈게 너의 품 안에
넌 지금 그대로 있어줌 돼
언제든 내 마음 한켠엔
네 자리가 있단 걸 기억해 줄래
돌고 돌아서 온 네 옆이잖아
그때 준다 했던 전부가 멀지 않아
영원히 내 옆에서 내가 그때 반한
그 미소를 띠어주면 된단 말야"
좋아요,"12,884",멜로망스,"지금 그쪽 대체 뭐라 말하는 거죠
내 여자에 대해 안 좋은 점을
말하고 있어요
맘에 안 들어요
우리 두 사람이 사랑하는 모습이
보기 너무 좋아 갈라놓으려
노력하는 거죠 그렇겐 안 돼요
그녀가 어떤 사람인지
잘 알지도 못하면서
그렇게 얘기하는 거 아니지 않나
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
그쪽이 신경 쓸 문제는 아닌데
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
나에겐 너무나 잘해주는
천사 같은 여자인 걸요
웃을 땐 얼음 위의 김연아
애교 떨 땐 웃음꽃이 피어나
그런 여자이죠
예뻐 죽겠어요
그녀가 어떤 사람인지
잘 알지도 못하면서
그렇게 얘기하는 거 아니지 않나
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
그쪽이 신경 쓸 문제는 아닌데
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
나에겐 너무나 잘해주는
천사 같은 여자인 걸요
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
그쪽이 신경 쓸 문제는 아닌데
난 그냥 그녀가 좋아요
그러니 신경 좀 꺼 줘요
우리 사이에서 제발 좀 꺼져요
나에겐 너무나 잘해주는
천사 같은 여자인 걸요
세상에 하나밖에 없는
사랑하는 사람인 걸요"
봄바람,"1,041",단칸방 로맨스,"살랑살랑 이 바람은
그대가 아닌지
따스한 그 바람에
난 이끌려 가네
그대에게 한발한발
다가가는 길
향긋한 봄 내음에 취해
다가가면 갈수록 향기가 짙어져
그대가 더욱 선명해지네
봄바람 살랑살랑 불어와
어디를 가도 다 무엇을 봐도
그대와 함께 걷고 싶어
어딜 가도 좋아
아른아른 밝은 빛은
그대가 아닌지
빛나는 그 미소에
난 이끌려 가네
그대에게 한발한발
다가가는 길
꽃 사이로 그대가 보이고
다가가면 갈수록 우리가 짙어져
향기가 더욱 선명해지네
봄바람 살랑살랑 불어와
어디를 가도 다 무엇을 봐도
그대와 함께 걷고 싶어
어딜 가도 좋아
향긋한 봄 내음이 가득한
저 벚꽃 사이로 손을 맞잡고
그대와 함께 걷고 싶어
어딜 가도 좋아
모든 걸 다 주고 싶어
어디를 가도 다
무엇을 봐도
봄바람 맡으며 그대와
어딜 가도 좋아
무얼 봐도 좋아
너와 함께라면"
우리의 감정이 같을 순 없지만,"5,524",결 (KYUL),"우리의 감정이
같을 순 없지만
아름다운 기억들은
더 만들어가자
서로의 아픔은
홀로 견디겠지만
언젠가 다시 만날 때면 더
단단해질 거야
너무 걱정하지 말자
가끔 기대곤 하면 된 거야
변할 수밖에 없다는 게 아쉽겠지만
계속 가야 할 길을 가자
혼자 같아도
같이 있어요
아름다웠던
추억들이 그리울거에요
서운한 맘은
간혹 생기겠지만
소중한 우리 온기를
기억하려 하자
또 우린 같아도
결국 다를 테지만
참 아무렇지 않았다고
함께 웃어넘기자
너무 걱정하지 말자
이렇게라도 만났으니까
떠나야 한다면 그것도 아쉽겠지만
계속 가야 할 길을 가자
혼자 같아도
같이 있어요
아름다웠던
추억들이 그리울 거에요"
그러나 우리가 사랑으로,"2,923",나이트오프 (Night Off),"우리 함께 서있어요
거친 바다가 땅을 지워
우린 먼길을 왔네요 그래요 알아요
우리가 택한 것과 택한 적 없었던
모든 것들로
우리가 우리가 된 걸요
그대 지친 몸을 내게 기대고서
또 내가 모르는 얘기를 들려줘요
오 우리 지난 눈물을 닦아 내고서
오래된 오해들을 전부 웃어버려요
밤이 오면 우리 서로의 노랠 배우고서
같이 불러요
우린 다르기엔 너무 같아요
바다는 너무 얕아요
우리를 갈라 놓기엔 가로막기엔
우린 아직 서로를 다 몰라요
가야 할 길은 더 멀어요
그러나 우리가 사랑으로
이제는 우리 다시 외롭지 말아요
서로의 곁을 지켜줘요
그대 지친 몸을 내게 기대고서
또 내가 모르는 얘기를 들려줘요
오 우리 지난 눈물을 닦아 내고서
오래된 오해들을 전부 웃어버려요
밤이 오면 우리 서로의 노랠 배우고서
우리 때론 기꺼이 더 먼 길을 돌아가요
더 멀리 같이 가요
우린 다르기엔 너무 같아요
바다는 너무 얕아요
우리를 갈라 놓기엔 가로막기엔
우린 아직 서로를 다 몰라요
가야 할 길은 더 멀어요
그러나 우리가 사랑으로"
청우 (靑雨),"3,624",리도어 (Redoor),"언덕 너머로 우리의
사랑이 보이나요
높게도 쌓았던 추억은 무너졌네요
영원할 줄 알았던
거대한 우리의 이야기는
오늘이 마지막 결말 일 줄은
눈물을 씻겨 줄 비가 내려요
상처를 날려 줄 바람이 부네요
이별을 만나기엔 너무 작아요
내 울음소리가
이별에 닿지 않게 하도록
어느덧 우린 지워진
사랑에 맴돌았고
흩어진 추억을
하나씩 주워 담았네
영원할 줄 알았던
거대한 우리의 이야기는
오늘이 마지막 결말일 줄은
눈물을 씻겨 줄 비가 내려요
상처를 날려 줄 바람이 부네요
이별을 만나기엔 너무 작아요
내 울음소리가
이별에 닿지 않게 하도록"
그대와 함께,"12,541",몽니,"그대와 함께 기차를 타고
아무도 없는 곳으로 떠나고 싶어
그대와 함께 손을 꼭 잡고
웃음지으며 온종일 거닐고 싶어
너의 향기를 맡으며
오늘도 네 생각에 잠들어
하루가 주어진다면
너와 여행을 떠나고 싶어
그대와 함께 기차를 타고
아무도 없는 곳으로 떠나고 싶어
그대와 함께 손을 꼭 잡고
웃음지으며 온종일 거닐고 싶어

웃고 울던 그 시간들
이젠 너를 지워버리고 싶어
그대와 함께 기차를 타고
아무도 없는 곳으로 떠나고 싶어
그대와 함께 손을 꼭 잡고
웃음지으며 온종일 거닐고 싶어
나를 버린 시간과 지나간 순간들

너를 미워하지만 그리운 시간들
그대와 함께 모든걸 잊고
저 넓은 바다로 향해 달려가고파
그대와 함께 밤을 지새우며
아무말 없이 서로를 바라보고파"
Put Me On Drugs,"7,697",검정치마,"put me on drugs
다 정신없게
put me on drugs
더 멀어지게
내 헝클어진 속 안을 더
사랑하는 너는 이상해
put me on drugs
할 말도 없고
put me on drugs
기억이 안나
날 쓰다듬는 그 손길이
이젠 너무 덥고 싫은 걸
오늘도 우린
빛 한줌 안 드는
방안에 벽을 세우다 잠드네
사랑했던 사람아 내 때 탄 인연아
철 지난 신상으로도 넌 입을 수 없어
설움만 알던 여자야 내 흉한 과거야
넌 목이 졸리면서도 날 불러댔었지
사랑이 틀렸을 때엔
다 틀린 거야
틀린게 많았을 때도
난 다 사랑이었어
하긴 영원히 알 수 없겠지
put me on drugs
put me on drugs
put me on drugs
put me on drugs"
나의 뚜뚜,499,크래커 (CRACKER),"잠깐 걸을까
오늘 하루 바빴겠지만
네가 좋아하는 날씨야
어디 든지 말만 해 Right
한 쪽씩 나눠 낀 이어폰에
즐겨 듣던 노래
우리 얘기가 됐고
언제든 너의 손을
꼭 잡아줄게
시린 바람 불어와도 우린
끄떡없어 babe
너는 내게 기대도 돼 매일
너를 위한 자리야
뚜루뚜뚜
널 생각하면 이렇게
뚜루뚜뚜
나를 떠오르게 하는 너의 마법
두 글자로 표현하면 아마 행복
항상 다른 기분을 내게 줘
빼곡하게 써놓은 일기장이 돼 매일
혹시 같은 맘일까
궁금해 난
거리를 걷다가
즐겨 듣던 노래
흘러나오게 되면
언제든 나의 손을
꼭 잡아줄래
시린 바람 불어와도 우린
끄떡없어 babe
너는 내게 기대도 돼 매일
너를 위한 자리야
뚜루뚜뚜
널 생각하면 이렇게
뚜루뚜뚜"
Freeway,124,Rovv,"Baby I gotta go on a freeway
Get in come my way
We're like a first lane
Yeah You say my name

Pushin' the button
We go
Pushin' the button
We go

Baby I gotta go on a freeway
Baby I gotta go on a freeway

Push one hunnit
한 손은 허리
Aimed for the summit
Feeling like we've won it
(We've won it yeah)

어제까지도 꽤 많은 걸 잃었는데
It doesn't matter
cause of beautiful your eyes I like
I like your vibes you got
you got a sunshine on your face
always driving me crazy

Baby I gotta go on a freeway
Get in come my way
We're like a first lane
Yeah You say my name

Pushin' the button
We go
Pushin' the button
We go

Baby I gotta go on a freeway
Baby I gotta go on a freeway

저기 보여 4 wheels
원한다면 more thrill
droptop처럼 옷을 걷어내
you have to go through

Calling my bro Jin.k
We need the 2 on 2
I know you the best one
Because we on tour

In afterparty, we gon' celebrate tonight
I wanna go all in my body into you
We stay up all night

Baby I gotta go on a freeway
Get in come my way
We're like a first lane
Yeah You say my name
(it's your Rovv yeah)

Pushin' the button
We go
Pushin' the button
We go

Baby I gotta go on a freeway
Baby I gotta go on a freeway"
