Title,Likes,Singer,Lyrics
또르르 (re:cord),"1,357",디에이드 (The Ade),"또르르 굴리고 눈치만 보다가
살며시 다가가 입술에 수줍게 키스해
배시시 웃으며 내게로 다가와
살며시 이마에 입맞춰 주는 널 상상해
우 너와 나
조금만 다가가면 딱일 것 같은데
우 너는 왜
모르는 척 서투른 척 웃기만 하는데
왜이리 가슴이 콩닥콩닥할까
코끝이 뜬금없이 찌릿 저려와
부드럽고 때론 씁쓸해
그래도 너니까 좋아
햇살이 유난히 부서지는 오후
지금 니가 이 근처 어디 있겠네
오 달콤해 코끝이 달콤해
기분 좋아졌나봐
너 땜에 내가 그래
우 너와 나
이대로 좋은걸까 고민이 많은데
우 너는 왜
모르는척 서투른척 웃기만 하는데
왜이리 가슴이 콩닥콩닥할까
코끝이 뜬금없이 찌릿 저려와
부드럽고 때론 씁쓸해
그래도 너니까 좋아
햇살이 유난히 부서지는 오후
지금 니가 이 근처 어디 있겠네
오 달콤해 코끝이 달콤해
기분 좋아졌나봐
너 땜에 내가 그래
랄라라랄라라
콧노래만 나와
그냥 너랑 있으면
랄라라랄라라
뭐가 더 필요할까
기분 좋아져 그냥 너랑 있으면
왜이리 가슴이 콩닥콩닥할까
코끝이 뜬금없이 찌릿 저려와
부드럽고 때론 씁쓸해
그래도 너니까 좋아
햇살이 유난히 부서지는 오후
지금 니가 이 근처 어디 있겠네
오 달콤해 코끝이 달콤해
기분 좋아졌나봐
너 땜에 내가 그래
너 땜에 내가 설레"
그대는 은하가 되어요,"3,193",초승 (CHOSNG),"텅 빈 새벽에 들어온
이 맘 어쩔 줄 몰라
무거운 이불로 날 안아요
잠 못 이루는 밤이면 그댈 참기가 어려워
난 닿을 수 없나요
고요한 이곳은 온기가 없어요
내게로 와줘요 나를 꼭 안아줘
그댄 내 안의 은하가 되어요
영원히 내 우주의 별이 되어줘
밤이면 짙어지는 그리움에 나
그대를 찾아요
텅 빈 마음에 눌러온
그대 이름만 맴도는 이 밤
잠들 수 없나요
고요한 이곳은 온기가 없어요
내게로 와줘요 다시 날 안아줘
그댄 내 안의 은하가 되어요
영원히 내 우주의 별이 되어줘
밤이면 짙어지는 그리움에 나
그대를 찾아요
그댄 내 안의 은하가 되어요
영원히 내 우주의 별이 되어줘
밤이면 짙어지는 그리움에 나
그대를 찾아요"
"til I die, Ella","4,408",로키드 (Lokid),"darling
you know your my heroin Ella
혹시 너가 나를 전부 잊어버려도
나는 너를 위해 기도해 delight
너가 언제든지 편히 쉴 수 있도록
shawty girl
I will always love you 'til I die
til I die til I die
거짓말은 아냐 not a lie
not a lie not a lie
I love u love u ehyyy
말로는 부족해
하루종일 너를 노래해
이럼 너무 멋없데
조금만 더 쿨하게
신경 안 쓰는척해야 돼
그건 내 스타일이 아냐 baby
내 앨범 온통 니 얘기 뿐인데
너 말고는 할 얘기도 없어
친구들은 나를 싫어하고
그냥 너만 있으면 돼
darling
you know your my heroin Ella
혹시 너가 나를 전부 잊어버려도
나는 너를 위해 기도해 delight
너가 언제든지 편히 쉴 수 있도록
shawty girl
I will always love you 'til I die
til I die til I die
거짓말은 아냐 not a lie
not a lie not a lie
나는 정말 죽을 때까지
너만 있음 돼
나는 정말 죽을 것 같지
널 안을래
나는 사랑밖에 몰라 진짜
반으로 딱 갈라 봐봐
내 맘 니 생각으로 꽉 찼을 테니
이번 주는 무슨 핑계 대야 해
왜 이리 어려워 널 만나는 게
I’m a curly lonely boi
내가 노래하는 이유
내 눈물을 닦아줘
눈이 가려 앞이 안 보여
난 너에게 빠진 바보야
그리운 샴푸 향은 ivory
좋은 기억들은
전부 모두 하이버리에
내 손을 잡아봐
절대 널 놓지 않아
너와의 다툼과
가슴 아린 시련까지
두려울 거 하나 없는 우리
너무나 딱 맞아
no 콩깍지
darling
you know your my heroin Ella
혹시 너가 나를 전부 잊어버려도
나는 너를 위해 기도해 delight
너가 언제든지 편히 쉴 수 있도록
shawty girl
I will always love you 'til I die
til I die til I die
거짓말은 아냐 not a lie
not a lie not a lie"
떨어지는 별들 사이에도,"1,194",104 (백사),"떨어지는 별들 사이에도
가장 빛나는 순간이 있어
너와 있던 그 밤
영원히 추억하고파
돌아오지는 않겠지만
그건 내게 별이 된 거야
동시에 닿지는 못하지만
언젠가 네가 떨어진대도
나는 너를 기억할게
떨어지는 별들 사이에도
가장 빛나는 순간이 있었대
아무도 기억하지 못하는 게
너무 슬프지 않냐며
눈물을 글썽이던
그날을 기억해
나는 조금도 이해를 못 했지만
울길래 너무 놀래서 말했지
내가 노래를 써볼게
저기 별에 대한 곡 말이야
너는 기다렸겠지만
이제 알겠어
네가 떠난 다음 생각이
들어줬을까 다른 네 말은
한참 지나서
갑자기 떠오르더라
우리 헤어진 건
전부 내 탓이었어
오랜 시간이 지나고야
그 밤 지나
내 마음에 별이 남았어도
지우지 않고 여기 남아있어
너의 세상에도 나는 별이 되었을까
떨어지는 별들 사이에도
가장 빛나는 순간이 있어
너와 있던 그 밤
영원히 추억하고파
돌아오지는 않겠지만
그건 내게 별이 된 거야
동시에 닿지는 못하지만
언젠가 네가 떨어진대도
나는 너를 기억할게
추웠지 그때 담요를 덮고 위를 보던 밤
별빛 아래 둘이 손잡고 봤지 그 새벽까지
남겨진 추억이 많아서
내 가슴 깊숙이 담겨서
난 아직까지도 그 밤을 잊지 못해
여기 써 노래를
별이 떨어지는 만큼
지워지는 기억 가끔
싸우기도 했지 매일
이제 날 떠나버린 너에게 전해
나도 알아 넌 이제 별처럼
가까이 닿을 수 없다는 것쯤
만에 하나 날 보고 있다면
떨어지는 별처럼 내게 와 줘
너와 같이 별을 보던 밤
시간이 지나 어른이 된 나
처음같이 될 수는 없지만
다시 한번 널 볼 수 있을까
널 기억해 별들처럼
넌 쉬웠겠지 전처럼
또 좋았던 시절처럼
잘 지내줘 지금처럼
셀 수 없이 떨어지는 별들
내가 기억할 테니 편히 쉬어도 돼
시간이 지난 뒤에
이 노래를 듣고 기억해 줬으면 해
떨어지는 별들 사이에도
가장 빛나는 순간이 있어
너와 있던 그 밤
영원히 추억하고파
돌아오지는 않겠지만
그건 내게 별이 된 거야
동시에 닿지는 못하지만
언젠가 네가 떨어진대도
나는 너를 기억할게"
"오, 오늘 밤엔",604,소란 (SORAN),"오, 오늘 밤엔 솔직히 말하면 후회가 돼
궁금해서 보고 싶어서
연락하고 싶은데
너는 어떤지

어젯밤이 어떻게 보였을까 너의 눈엔
평소랑 달라서 이미 다 눈치챈 거라면

너무 갑자기라고 생각했을지도 모르지
쭉 망설이다가 참을 수 없어서 이건 갑자기일까

괜한 욕심일지 고민도 했지만
오히려 어색해질 수도 있겠지만
너무 좋아서 고백했는데

오, 오늘 밤엔 솔직히 말하면 후회가 돼
궁금해서 보고 싶어서
연락하고 싶은데
그럴 수가 없어 난

언제까지 너의 곁에서 기다릴 수는 있지만
우리가 멀어지거나 볼 수 없다면
그땐 어떡해

역시 이건 아니었나 봐
벌써부터 우리가 친구였던 그때가
그리워져 지금 널 만나고 싶은데

오, 내일이 되면
너의 옆에 내가 서 있을까
아니면 혹시 또 바보처럼
하루 종일 대답만
기다리고 있을까

괜히 내가 너에게
부담 준 건 아닐까 걱정이 돼
눈을 감고 있어도 너의 얼굴만
이제 어떡해"
봄편지 (love letter),395,설경,"밤하늘 위 바람 지나고
쏟아질 듯 반짝이는
은하수 별빛이 내리면
그대에게 난 편지를 써요
나의 두 손이 여린 마음을
어루만져 줄 거예요
맑은 눈으로 시린 눈물을
안아줄게요
작은 소리로 그대를 향한
사랑을 노래할게요
우리 마음은
노을 빛처럼 물들어가요
우우우우우 꽃잎은 흩날려
우우우우우 우리를 감싸죠
우우우우우 시간이 흘러도
우우우우우우 곁에 있을게요
나의 두 손이 여린 마음을
어루만져 줄 거예요
맑은 눈으로 시린 눈물을
안아줄게요
작은 소리로 그대를 향한
사랑을 노래할게요
우리 마음은
노을 빛처럼 물들어가요
우우우우우 꽃잎은 흩날려
우우우우우 우리를 감싸죠
우우우우우 시간이 흘러도
우우우우우우 곁에 있을게요
우우우우우 꽃잎은 흩날려
우우우우우 우리를 감싸죠"
침묵,"2,836",SURL (설),"지겨웠던 이 침묵에
닫았던 입을 열었네
들리지 않던 목소린
조금씩 새어 나오네
우 말없이 고개를
끄덕이기만 하지
우 달라지지 않겠지
다시 입을 다무네
I know you'll never change yeah
생각 없이 말을 내뱉지
Hey I already feel like an idiot
차라리 그냥 욕을 해
I know you'll never change yeah
진심 없이 나를 안겠지
Hey I already feel like shit
You won't change me
다시 조용하네
기다렸던 대답 속엔
너를 가릴 많은 핑계
보이지 않던 얼굴에
손으로 눈을 가리네
우 조용히 걸음을
재촉하기만 하지
우 달라지지 않겠지
다시 입을 다무네
I know you'll never change yeah
생각 없이 말을 내뱉지
Hey I already feel like an idiot
차라리 그냥 욕을 해
I know you'll never change yeah
진심 없이 나를 안겠지
Hey I already feel like shit
You won't change me
다시 조용하네
I think I’m gonna die
If you choke my neck
Then I
Then I can get out
Where you were
And I am free
I'm Free"
New Hippie Generation,"6,489",페퍼톤스 (PEPPERTONES),"답답한 것들은 던져버려
여긴 정말 한적하다
햇살엔 세금이 안붙어
참 다행이야
오늘같은 날 내맘대로
저기 어디쯤에
명왕성이 떠있을까
따뜻한 햇살이 비추는
잔디에 누워
우주의 끝을 바라본다
하루쯤 쉬어도 괜찮지
오늘 당장 모든게
변하진 않을테니
세상은 넓고
노래는 정말 아름다운것 같아
인생은 길고
날씨 참 좋구나

구름한점 없는 하늘위로
비행기가 지나간다
괜히 코끝이 찡한걸보니
난 아직도 사춘기인가봐
그런가봐
미모의 아가씨와 함께
선탠오일 바르는
꿈이라도 꾸면서
세상은 넓고
노래란 정말로
아름다운것 같아
인생은 길고
날씨가 좋아서"
"우리, 여행","5,658",소란 (SORAN),"여기 어때
조금 앉아있다 가자
낯선 사람들
우리도 여기 풍경처럼
멈춰 보면 어때
똑같은 길을
몇 번이나 헤매도
자꾸 웃음이 나
그대와 함께 가는 것
몰랐던 길을 걷는 것
이상해
낯선 두려움보단
편안함을 느껴
그대와 함께 가는 것
같은 방향을 찾는 것
이렇게
꿈결 같은 시간이
별빛처럼
소중하게 보여
밤하늘은
우릴 유치하게 하지
우리 여기에서
할아버지 할머니가
될 때까지 있을까
이렇게 가슴
시리도록 좋은데
자꾸 눈물이 나
그대와 함께 가는 것
몰랐던 길을 걷는 것
이상해
낯선 두려움보단
편안함을 느껴
그대와 함께 가는 것
같은 방향을 찾는 것
이렇게
꿈결 같은 시간이
별빛처럼
소중하게 보여
세상 어디도
아름다운 풍경도
가장 기다려왔던
이 순간도
모든 걸 다 준데도
소용없는걸
그 무엇보다
내게 중요한 건
그대와 함께 가는 것
낯선 두려움보단
편안함을 느껴
그대와 함께 가는 것
같은 방향을 찾는 것
이렇게
꿈결 같은 시간이
별빛처럼
소중하게 보여
우리 하루 종일 걷다가 보면
가장 소중한 걸 만나게 되길
우리 하루 종일 걷다가 보면
가장 행복한 걸 만나게 되길
별빛처럼 소중하게
작은 빛이 선명하게
보여"
위로해줄게,"13,051",G.Urban (지어반),"되는 일이 하나 없고
아무것도 안 풀리고
속이 꽉 막힌 듯 답답할 때면
하루 종일 영화 보고 친구를 만나도
고민은 쌓이고 한숨은 늘죠
이 노래 어때요
그대의 기분이 조금은 풀렸나요
그랬으면 좋겠어요 난
그대의 마음이 더 가벼워질 수 있다면
울고 싶어질 땐 그냥 울어도 돼
참을 필요 없어 너만 괜찮다면
내일은 happy ending
영화 주인공처럼
웃을 거에요 good night
이 노래 어때요
그대의 기분이 조금은 풀렸나요
그랬으면 좋겠어요 난
그대의 마음이 더 가벼워질 수 있다면
울고 싶어질 땐 그냥 울어도 돼
참을 필요 없어 너만 괜찮다면
내일은 happy ending
영화 주인공처럼
웃을 거에요 good night
흔들려도 돼 조금 뒤처져도 돼 괜찮아
그대로 걸어가면 돼
마음에 무거운 짐을 내려놓아요
Close your eyes Smile is back again
잘 될 거예요
울고 싶어질 땐 그냥 울어도 돼
참을 필요 없어 너만 괜찮다면
내일은 happy ending
영화 주인공처럼
웃을 거에요 good night
knockin' your door door door
knockin' your door door door
knockin' your door door
위로해줄게
thinkin' your dream dream dream
thinkin' your dream dream dream
너를 위로 할게"
조금이라도 위로가 된다면 곁에 있을게,"6,493",에피톤 프로젝트,"아프다고 눈물 지을때
난 아무것도 할 수 없었어
눈물 자국 덧씌워져도
아무런 말도 할 수 없었어
아무것도 하지마
울고 싶을 때는 그냥 울어
지난 사랑은 모두 다 잊고
아픈 마음들 홀로 끌어안고서
살아갈 수는 없는거잖아
그게 아니면
그 마음 아니라면 그래
아니라면 그래
그게 아니라면 그래
내가 너의 곁에서
내가 그대 곁에서 있을게
오랫동안 남아있는
상처들이 아물도록
그대 곁에서 있을게
조금이라도 위로가 된다면
아무것도 하지마
울고 싶을 때는 그냥 울어
지난 사랑은 모두 다 잊고
아픈 마음들 홀로 끌어안고서
살아갈 수는 없는거잖아
그게 아니면
그 마음 아니라면 그래
아니라면 그래
그게 아니라면 그래
내가 너의 곁에서
내가 그대 곁에서 있을게
오랫동안 남아있는
상처들이 아물도록
그대 곁에서 있을게
조금이라도 위로가 된다면"
