Title,Likes,Singer,Lyrics
사랑하긴 했었나요,"9,624",리사,"이젠 가나요
난 힘이들어요
많이 지쳤나봐요
아무런 변명도 하진마요
서로에게 상처주는
우리들의 사랑은
처음부터 잘못인가요
나를 위해서 떠난다고
하지 말아요
날 사랑하기는 했었나요
다 알면서 또 묻네요
Forever can us to be one again
돌이킬수는 없나요 음
아직 기억하나요
내게 약속했던것
결코 나보다 먼저
떠나지 않는다 했잖아요
서로에게 상처주는
말은 하지 말아요
처음부터 잘못인가요
날 사랑하지 않은 만도
못한게 되죠
날 사랑하기는 했었나요
다 알면서 또 묻네요
Forever can us to be one again
다 잊을 자신 있나요
나 이해할 순 없지만
미워할 순 없네요
잊을수 없으면 어떡하나요
날 사랑하기는 했었나요
나 만큼은 아닌가요
음 다시 내게
돌아오길 바라던
바보같은 나인걸요"
404 Loading,"8,167",태용 (TAEYONG),"For what, for you, yeah
I can give you all of me
For what, for you, yeah
I'll give you my hunnit
넌 나의 모든 걸 보게 될 거야
빛이 날 때
정오를 물들이고
네게 모든 걸 줄게
다가와 줄래

I keep it hunnit
I keep it new
난 언제나 새로운 걸 찾아다녀 늘
I keep it hunnit
I keep it new
나와 함께 꾸자
이 야밤 떠다니는 꿈
긴 꿈을

긴 꿈 안에 너와 난 둘이 떠돌아
네가 원한다면 저 별을 따온 다음
우리 주위를 맴돌게
그래 그렇게
우리 주위를 맴돌게
계속 빛나게

Raise your head and
Look up at the stars
별들의 바다를 유유히 유영하지
저 달을 밝힌 다음 난
정오를 난 불태워 난
일렁거리는 밤 속 Yeah

Can you see my sign
Now I'm trying to connect
Look into your heart
네가 원하는 것을
Linkin with my mind
Now you’re thinkin about my side
내가 그리는 우주의
I'll give you the location

행성의 중력 넌 끌어당겨
우리의 꿈은 너무 크기에
I dream of oddity oddity
It's 404 gravity gravity

A hundred miles an hour driving
With no headlights
뻥 뚫린 도로를 질주해
Staying out of sight
정해진 것을 바꿔 봐
내게 안겨 봐

지금을 살아 난
우린 취하고
일탈을 즐겨 Make it fire
부자가 된 꿈을 꿔
여러 내 꿈 안
In the meantime
We just dreamin
In your mind yeah

단 한 번의 Fire
오늘 밤 불태웠고
너와 나는 둘이서
이 행성을 비추지
백색의 사슴과
태양의 말이 되는 꿈
그 끝에 서서
입 맞추자고

So I can feel you
너의 모든 걸
느낄 수 있어
이 우주의 나선 중심 한가운데는
네가 서 있지
You always motivate me
내게로 Loading 해 Baby
Meet me in a 404

무중력을 만들어내 우린
이 안 우린 영원할 거니깐
Now dream is reality reality
It's 404 gravity gravity

A hundred miles an hour driving
With no headlights
뻥 뚫린 도로를 질주해
Staying out of sight
정해진 것을 바꿔 봐
내게 안겨 봐

지금을 살아 난
우린 취하고
일탈을 즐겨 Make it fire
부자가 된 꿈을 꿔
여러 내 꿈 안
In the meantime
We just dreamin
In your mind yeah

Ah ah ah
Just in my mind
Just in my mind yeah

난 쭉 늘 왔던 길을 걷고
우리의 머릿속은 타들어 가
걱정 마 너의 모든 마음
그 불안한 그 마음을 내려놓고 Fly

Yeah umm
떠나자 어디든지
널 찾았으니 Don't load
Now we starting
이제 앞을 봐
It’s time to fly
버튼을 눌러 봐
Let’s start
Let’s start
Let’s start
Let’s start"
SHE,"4,403",Crush,"희미해진 날 놓을 때
마지막 숨을 고를 즈음에
정체 모를 거미줄에
아무것도 할 수 없을 때

조용히 두 손을 잡고
울어주던 그 눈을 기억해
어두웠던 내 세상에
들어와 날 밝혀준 그대

Give me your give me your hand
힘겹게 네게 닿을 때
너의 작은 손은 한걸음
나를 더 꽉 안아줘
길 잃어버린 끝에
괜히 너마저 더 물들게 하진 않을까 난 두려워
하지만 난 이미 널 놓을 순 없어

나의 빛 나의 그대
어두운 나의 그늘을
따스히 비춰주는

이제는 울지 않아
오랜 꿈 뒤에 그대 내게
다가와 줬으니

Give me your give me your hand
힘겹게 네게 닿을 때
Give me your give me your hand
힘겹게 네게 닿을 때"
In The Mood,"3,621",휘인 (Whee In),"흘러나온 리듬 속에 Vibe
Feelin’ so good 우리만의 Sign
끄덕이며 마주 보는 Eyes
Every time

네 눈빛은 달의 색을 내
하루 종일 그 속을 헤엄치네
매 순간이 너로 변해
Baby don’t stop

난 숨이 탁 오른 기분에
널 향해 점점 발을 떼
All night long 이 기분에

미쳐가 난 In The Mood
넌 몰랐던 새로운 You
너의 깊이 감춰있던 Movin’ Movin’
즐겨 이 Feelin’

빠져들어 In The Mood
온 감각의 끝은 You
그저 이끌림을 따라 Groovin’ Groovin’
더 깊이 Fallin’

Come on baby, It’s necessary
너만의 Tone 취해가는 Breathe
점점 퍼져가는 Beat
Every time

더 깊어져 나의 모든 게
너와 있는 매 순간에
All night long 그 눈빛에

미쳐가 난 In The Mood
넌 몰랐던 새로운 You
너의 깊이 감춰있던 Movin’ Movin’
즐겨 이 Feelin’

빠져들어 In The Mood
온 감각의 끝은 You
그저 이끌림을 따라 Groovin’ Groovin’
더 깊이 Fallin’

Cause you’re always in the mood
Cause you’re always in the mood
Cause you’re always in the

완벽하잖아 매 순간이
접어둘래 난 생각 따윈
Yeah 그냥 이렇게 빠져 Come in

너도 느껴봐 Know what I feel
아침이 밝아올 때까지
지금 이대로 We go vibin’

미쳐가 난 In The Mood
넌 몰랐던 새로운 You
너의 깊이 감춰있던 Movin’ Movin’
즐겨 이 Feelin’

빠져들어 In The Mood
온 감각의 끝은 You
그저 이끌림을 따라 Groovin’ Groovin’
더 깊이 Fallin’

Cause you’re always in the mood
Cause you’re always in the mood
Cause you’re always in the

In the mood in the mood in the mood
In the mood in the mood in the mood
Cause you’re always in the"
Privacy,"46,985",백현 (BAEKHYUN),"지금 바로 데리러 가는 중이니까
나오지 말고 그대로 있어
오늘따라 시린 바람은 재촉해 날
따뜻한 너의 품에 가서 안기라고

I just wanna be your lover
모두가 아는 나 말고
오로지 너의 남자 너의 privacy

우리만 아는 비밀
It’s not even on profile
이제부터는 너도 나의 privacy
Hold me close and don’t let me
go 난 너의 끝까지
알고 싶다고 don't hide it from me

숨김없는 네 모습에 난 또
강아지처럼 안기네 폭
You make me feel so damn cozy
네가 내 휴식시간이야
영화에서나 봤던 장면 속에 데려가
당연히 주인공은 너와 나

So won’t you come and be my lover
모두가 아는 너 말고
오로지 나의 baby 나의 privacy

우리만 아는 비밀
It’s not even on profile
이제부터는 너도 나의 privacy
Hold me close and don’t let me
go 난 너의 끝까지
알고 싶다고 don't hide it from me

우린 오늘 밤이란
바다를 건너갈 거야
You and I
그리고 달만이 아는 그런
이야길 만들어 매 순간

우리만 아는 비밀
It’s not even on profile
이제부터는 너도 나의 privacy
Hold me close and don’t let me
go 난 너의 끝까지
알고 싶다고 don't hide it"
사랑의 묘약,"17,503",비비 (BIBI),"배가 고프다면 밥을
마음이 허전하면 단짝 친구들
사랑이 부족하면 나를
빠르고 간편하게 삼켜 주세요
가슴이 두근두근 얼굴이 발그레해
자꾸만 생각나요 뭐 잘못된 건가요
잠에 밤이 안 오고 말을 더듬거려요
그럼 나는 어떡하죠
fill me fill you i got some love
feel me feel you i got some love
feed me feed you with my love
fill me fill you with my l o v e
말문이 막힐 때는 나를
숨 쉬지 못할 만큼 꽉 안아보세요
주눅이 들었다면 너를
괜찮아질 때까지 토닥여줄게요
사랑은 어려워요 마음은 복잡하고
아직은 서툴러요 뭐 잘못된 건가요
좋아한다고 나를 솔직히 말해줘요
내 눈을 바라봐줘요
fill me fill you i got some love
feel me feel you i got some love
feed me feed you with my love
fill me fill you with my l o v e"
머물러 있는 것 또한 아름다울 수 있는 건,"11,686",SOLE (쏠),"하루아침에 세상이 바뀔 수가 없듯이
모든 게 그렇고 그렇게
다 이유가 있듯이
난 늘 한곳에 머물러 있을 때
불안해했었지
이제서야 알 것 같아
이제야 날 안 것 같아
보잘것없던 내 삶이
이토록 밝을 수 있는 건
사소한 것에도 행복을 느끼게 해준
너 때문인 걸
머물러 있는 것 또한
아름다울 수 있는 건
날 사랑하고 아낄 수 있어서란 걸
난 깨달았어
매일 나도 날 모를 때,
불안한 마음이 나를 덮칠 때
가끔은 당연한 듯 익숙해져도 괜찮아
난 늘 한곳에 머물러 있을 때
불안해했었지
이제서야 알 것 같아
이제야 날 안 것 같아
보잘것없던 내 삶이
이토록 밝을 수 있는 건
사소한 것에도 행복을 느끼게 해준
너 때문인 걸
머물러 있는 것 또한
아름다울 수 있는 건
날 사랑하고 아낄 수 있어서란 걸
난 깨달았어"
Alone,528,윤도 (YoonDo),"어느샌가 찾아온 너라는 기억들에
기어이 나를 덮쳐 나는 또 무너지네

내 곁에 그대가 없는 게 이젠 당연해져버린 나날들에
무얼 찾는 건지 너를 보는 건지 부르고 불러

돌아와 니가 있어야 할 그곳에
돌아와 니가 있을 자리 여긴데

All of me craving for you hoo
Can't see without you hoo
I'm crash and burn

찢겨진 마음속에 누군가 닿을 때면
덧이 날까 두려워 또 밀어내는 거야
더 이상

널 만질 수 없는데 널 느낄 수 없는데
널 안을 수 없는데 니가 내 곁에 없는데

미친 듯 매일 너를 그려 또 너를 안아 환상 속에서

돌아와 니가 있어야 할 그곳에
돌아와 니가 있을 자리 여긴데

All of me craving for you hoo
Can't see without you hoo
I'm crash and burn

난 눈을 감아 또 너를 그려 우리라는 기적에 찬란했었던 날
조그만 너의 품에 안겨 웃던 행복했었던 그날에 난 아직

돌아와 니가 있어야 할 자리는 여기인데

널 사랑한다고 말할 수 있던
똑같은 시간에 살고 있었던

All of me craving for you hoo
Can't see without you hoo
I'm crash and burn

I'm left all alone"
Dive in Love,78,태하,"어색했던 첫 만남의 떨림을
아직도 기억하고 있어
수줍었던 그날 밤의 온기가
은은하게 남아있는 걸
미처 말해주지 못했던
작은 고백을 네게 주고 싶은데

Dive in love
Baby let me into your heart
Drive with love
I just wanna ride the wave and fall in love
Never felt so good to me
Feels so right

Dive in love
I can feel the love is coming
Stay in love
No one’s gonna ever love you like the way I do
You’re the only one I’ll ever need

오늘 같은 날이면 너와 둘이서 걸어보고 싶어
불어오는 바람을 같이 맞으며 걸을래
왠지 너와 하는 모든 것들이
운명처럼 이뤄질 것만 같아
너를 알아보지 못했던
지난 시간은 모두 의미 없는 걸

Dive in love
Baby let me into your heart
Drive with love
I just wanna ride the wave and fall in love
Never felt so good to me
Feels so right

Dive in love
I can feel the love is coming
Stay in love
No one’s gonna ever love you like the way I do
You’re the only one I’ll ever need
Dive into you

Dive in love ohh
Dive in love, dive in love
Dive in love, dive in love
Never felt so good to me"
EASY (Feat. 식케이),"53,319",휘인 (Whee In),"넌 다른 생각할 때
그 표정이 너무 뻔해
난 다 알 수가 있어
it's not an ordinary day
눈치가 빠르지 않더라도
넌 너무 알기 쉽게
보여주니 잔인하네
날 긴장하게 만드는 예민함도
가슴을 찌르는 너의 솔직함도
왜 내게만 해당 돼
it's too unfair
I'm not easy
난 그런 거 싫어해
좋게 맞춰준 거지
널 더 좋아한 거지 나보다
이미 내 마음도 변해가네
너에게 가둬둔 날 꺼내 벗어날래
too late too late
you're so stupid stupid
no way no way it's not easy
깊어지는 생각에
외로움이 두려웠네
이젠 버틸 수 있어
it's just an ordinary day
새벽까지 잠들 수 없더라도
널 찾지 않을래 좋아질 게 많아
all day
참 딱딱한 너의 말투도
쉽게 잊혀지는 수많은 약속도
왜 내게만 해당 돼
it's too unfair
I'm not easy
난 그런 거 싫어해
좋게 맞춰준 거지
널 더 좋아한 거지 나보다
이미 내 마음도 변해가네
너에게 가둬둔 날 꺼내 벗어날래
아니 아니 벗어나지 마 baby
내 사랑은 여전하니까
너에 대한 내 사랑은 어련하니까
내가 개구쟁이에다가
사고뭉치더라도
딱 한 번의 기회가 더 있길 바라
내 심장의 주인은 너이길 바라
너를 쉬운 여자라고 생각 안 해
그니깐 내 말은 미안해 잘할게
사랑해 사랑해
I'm not easy
난 그런 거 싫어해
좋게 맞춰준 거지
널 더 좋아한 거지 나보다
이미 내 마음도 변해가네
너에게 가둬둔 날 꺼내 벗어날래
too late too late
you're so stupid stupid
no way no way it's not easy"
