Title,Likes,Singer,Lyrics
열정,"7,141",SE7EN,"뜨거운 가슴에 너를 안을래
내가 죽는 날까지 너만 사랑할래
나는 everyday 너만 생각해
다른 사람은 절대 안돼 너야만해

내 모든걸 다 바쳤지
원하는건 다 사줬지
아낌없이 주고만 싶었어

하지만 너는 모르지 너에게 나는 오로지
친구 이상은 아니라고
다른 사람을 만나려 하네
다른 사랑을 찾으려 하네
나에겐 오직 너 하나밖에 없는걸 알잖아
내 맘을 받아줘

(One! Two! Three! Four!
Five,Sixth,Seven~!! 자 let's go~!)

뜨거운 가슴에 너를 안을래
내가 죽는 날까지 너만 사랑할래
나는 Everyday 너만 생각해
다른 사람은 절대 안돼 너야만해

너의 다른 그 시선이
니가 잡은 그의 손이
너무나도 어울리지않아

생각해봐 내 가슴이
얼마나 찢어지는지
난 그저 울고만 싶었어

마음을 열어 더 늦기전에
나를 남자로 봐주길 원해
행복한 미래가 눈에 선해
제발 날 받아줘 내맘 좀 알아줘

(One! Two! Three! Four!
Five,Sixth,Seven~!! 자 let's go~!)

뜨거운 가슴에 너를 안을래
내가 죽는 날까지 너만 사랑할래
나는 Everyday 너만 생각해
다른 사람은 절대 안돼 너야만해

왜 너는 내 맘 모르니
몰라도 너무 모르지
왜 자꾸 나를 피하니

(One! Two! Three! Four!
Five,Sixth,Seven~!! 자 let's go~!)

뜨거운 가슴에 (나의 가슴에)
너를 안을래 (너를 안을래)
내가 죽는 날까지 (oh~ 너를 너무 사랑해)
너만 사랑할래
나는 Everyday (난 Everyday)
너만 생각해 (널 생각해)
다른 사람은 절대 안돼 너야만해 -"
"Jam & Butterfly (Feat. Crush, eaJ)",0,DPR LIVE,"Jam & butter-fly
oh ah
feelin’ sweet inside
oh my
caramello high
so high
when I take a bite
of ya
먹음직스러워
your love
네가 계속 고파
구름을 뚫고
you send me above
63빌딩 보다 높아
흐려지게 해 넌
부러지게 해 넌
어지럽게 해 넌
넘어지게 해 넌
멈추질 못해 oh no
땀을 흘려 난 더
네가 꿀이라면 난 벌
she’s coming on my love
Jam & butter-fly
oh ah
feelin’ sweet inside
oh my
caramello high
so high
when I take a bite
of ya
취향 저격당해
청바지
White shirt
긴 생머리 oh my gosh
I’m not drunk
But 정신 못 차림
빛을 뿜어내 눈부셔 난 시력상실
흐려지게 해 넌
부러지게 해 넌
어지럽게 해 넌
넘어지게 해 넌
멈추질 못해 oh no
땀을 흘려 난 더
네가 꿀이라면 난 벌
I'm coming for your love
Jam & butter-fly
oh ah
feelin’ sweet inside
oh my
caramello high
so high
when I take a bite
of ya
it’s just the
the melody you make asleep
brass from your nose a quiet
symphony
the do re mis
of your sleepy shufflin
got me cheesing so hard
wallace never go to sleep
흐려지게 해 넌
부러지게 해 넌
어지럽게 해 넌
넘어지게 해 넌
멈추질 못해 oh no
땀을 흘려 난 더
네가 꿀이라면 난 벌
I got you on my love
love the textures of your mind
tell me that it’s all of mine
love the taste of all your lines
when with you
I feel new
oh my god
oh my god
Jam & butter-fly
oh ah
feelin’ sweet inside
oh my
caramello high
so high
when I take a bite
of ya
Jam & butter-fly
oh ah
feelin’ sweet inside
oh my
caramello high
so high
when I take a bite
of ya"
Date or Mate,382,MEENOI,"뭔데 이 감정은 또
낯설어 자꾸 어색해
배배 꼬여
네가 날 부를 때
같이 걸을까
밥도 먹을까
갈까 말까
고민도 안 해

그저 나는
좋은 친구인지
답답해 못 참아
알고 싶어 너를

말해 말해줘 너의 마음을
이름 붙여줘 우리 사이에
내 맘 너는 알고 있을까
Can't wait no more
골라 골라줘 너의 진심을
쉬워 알파벳 하나만 달라
DATE? MATE?
Woo

왠지 너도
나와 똑같을까
계속 Like you
썼다 지워
눈치 빠른데 평소엔
도저히 모르겠어
How to get your heart babe
Woo

그저 나는
좋은 친구인지
답답해 못 참아
알고 싶어 너를

말해 말해줘 너의 마음을
이름 붙여줘 우리 사이에
내 맘 너는 알고 있을까
Can't wait no more
골라 골라줘 너의 진심을
쉬워 알파벳 하나만 달라
DATE? MATE?
Woo

애써 아닌 척
네 옆을 걷다
고개 숙여 숨 고르지만
이제는 Wanna be in love
보고 싶단 연락과
다정한 걱정
정말 아무런 의미 없어 넌?
이제는 Choose what to do

말해 말해줘 너의 마음을
이름 붙여줘 우리 사이에
내 맘 너는 알고 있을까
Can't wait no more
골라 골라줘 너의 진심을
쉬워 알파벳 하나만 달라
DATE? MATE?
Woo

I like you, No I don't
다시 또 I like you
쉽게 정할 순 없을 테지만
I like you more and more
I like you, No I don't
다시 또 I like you
언제라도 네 곁에 있을게
Choose what to be now"
매일매일,"8,677",V.O.S,"매일 매일 그댈 사랑해요
내가 미안해요
그런 말 하지 말아요
음 음 음
헤어지자는 그런 말
끝내자는 그런 말
아직 서로 사랑할 날 많은데
어젯밤 우리가 다툰 뒤로
맘이 무거워요
TV를 켠 채로 잠이 들었네요
늦은 아침에 일어나란
그대 전화를
기다려봐도 울리지가 않아요
그대 혼자 울지말아요
나쁜 생각도 하지말아요
서로 생각하는게 달라서
그런 것 뿐인데
매일 매일 그댈 사랑해요
내가 미안해요
그런 말 하지 말아요
오오 No
헤어지자는 그런 말
끝내자는 그런 말
아직 서로 사랑할 날 많은데
혼자 밥 먹는게
이렇게도 허전한 일인지
그대가 없어서 처음 알았네요
아무리 화가 났더라도
우는 그대를 그냥 보낸 건
정말 아니었는데
내 마음 둘 곳 하나없네요
할 수 있는 일 하나없네요
온통 그대 걱정뿐이라서
한 숨만 쉬는데
매일 매일 그댈 사랑해요
내가 미안해요
그런 말 하지 말아요
오 오오
헤어지자는 그런 말
끝내자는 그런 말
아직 서로 사랑할 날 많은데
내가 한 말이 후회가 돼요
그대 없어도 상관없단 말

매일 매일 그대 뿐이에요
이젠 화 풀어요
내가 웃게 해 줄게요
오 오오 우 Baby
그댈 아프게 하는 일
그댈 또 울리는 일
두번 다신 없을거에요 my love"
책을 넘기는 듯한 마음으로,"16,862",homezone,"기억이 나지도 않을 만큼
많고 많은 이 단어들 뒤로
마침표를 올리고 나면
우린 어디로 가야 할까요
추억이었고 행복했다는
마지막 문장을 담아요
넘겨야 하는데 그래야 하는데
그대는 왜 망설일까요
Happily ever and after
동화 같은 결말 아닐까 봐
불안하다면 Babe
지금 내 얘길 들어줘
앞으로도 늘 우리는
수많은 문장 속에서 함께
방황하며 길을 잃고 말 거야
띄어쓰기 가득한 미로
그럴 때면 내 행복아
걱정은 잠시 조금 넣어둬
불안해하진마 이젠
마치 책을 넘기는 듯한 마음으로
늘 그런 마음으로
한 장 두 장 또 세 장 넘길 때처럼
One two three
시간 가는 줄도
모를 순간 넘긴
종이 두께처럼 우린
더 더 더
단단해져 있을 거야 my love
너의 슬픔 들도
보이지 않을 만큼 까마득한 페이지 속
앞으로도 늘 우리는
수많은 문장 속에서 함께
방황하며 길을 잃고 말 거야
띄어쓰기 가득한 미로
그럴 때면 내 행복아
걱정은 잠시 조금 넣어둬
불안해하진마 이젠
마치 책을 넘기는 듯한 마음으로
앞으로도 늘 우리는
수많은 문장 속에서 함께
방황하며 길을 잃고 말 거야
띄어쓰기 가득한 미로
그럴 때면 내 행복아
걱정은 잠시 조금 넣어둬
불안해하진마 이젠
마치 책을 넘기는 듯한 마음으로"
거짓말 하는 법,"18,664",견우 (Kyunwoo),"사랑하는 여자가 있어
정말 많이 사랑 하는데
부족한 내 사랑은 줄것이 없어
보내 주려고 해

사랑하지 않는다는말 Uhm
어떻게 말하면 정말 같을까
아무리 연습해봐도 못할것 같아
난 너무 겁이나

내 눈길만 봐도 숨소리만 들어도
다 아는 사람인데

가르쳐줘 어떡해야 하는지
어떤 표정으로 사랑을 가릴까
입술도 못떼고 눈물 먼저 흐르면
나보다 아파할텐데

나 다른 곳을 봐도 바보처럼 나만을
기다릴 사람인데

가르쳐 줘 어떡해야 하는지
어떤 표정으로 사랑을 가릴까
입술도 못떼고 눈물먼저 흐르면
나보다 아파할텐데

돌아선 순간 후회할걸 알지만
이런 내모습 미안할 만큼
널 사랑하니까

몇번이고 거짓말 해야겠지
나의 거짓말로 나조차 속이게
눈물이 흘러도 사랑은 아니라고
끝까지 믿을수 있게"
어디까지 (Prod. Inf),467,안재우,"넌 어디까지 기억해?
처음 마주 본 날
아님 내가 네 집 앞에서 많이 울었던 날
이것도 기억해?
1년째 되던 그날
그 싸구려 반지로 영원 따위를 말했던 날
난 이제서야 떠오른 기억에 맞서
밤마다 싸워가는 중이야 너도 그랬어?
잊혀지다가도 또 멈춰
이 자리에서 널 기다려

어디까지 기억해야 할지
또 어디까지 남겨둬야 할지도
남겨두고 싶은 기억 몇 개 빼고는
전부 지워 버릴 순 없는 걸까

넌 어디까지 버렸어?
우리 처음 찍은 네 컷
아님 새벽에 나와
걷던 거리 코스도
전부 다 지웠나 봐 그날 밤
나도 소중한 기억 몇 개 빼곤 지울게

이 땐 꽤 좋았으니
전부 남겨둬야 해
이 사진은 좀 창피하니
남겨둬야 해
그때 그 맛집 거리는 전부
남겨둬야 해
소중한 기억 빼고
지우려니 버릴 기억이 없네

넌 어디까지 기억해?
처음 마주 본 날
아님 내가 네 집 앞에서 많이 울었던 날
이것도 기억해?
1년째 되던 그날
그 싸구려 반지로 영원 따위를 말했던 날
난 이제서야 떠오른 기억에 맞서
밤마다 싸워가는 중이야 너도 그랬어?
잊혀지다가도 또 멈춰
이 자리에서 널 기다려

어느 정도 지나면
전부 잊혀질거라는 말
다른 누군가를 만나면
자연스레 다 지워진단 말

이 말만큼 무책임한 말 없다고 봐 난
흔해 빠진 이야긴데 이걸 너에게 듣다니
그럼 네가 전부 가져가지 그랬어?
내 기억까지 전부 가져가지 그랬어

이 땐 꽤 좋았으니
전부 남겨둬야 해
이 사진은 좀 창피하니
남겨둬야 해
그때 그 맛집 거리는 전부
남겨둬야 해
소중한 기억 빼고
지우려니 버릴 기억이 없네

넌 어디까지 기억해?
처음 마주 본 날
아님 내가 네 집 앞에서 많이 울었던 날
이것도 기억해?
1년째 되던 그날
그 싸구려 반지로 영원 따위를 말했던 날
난 이제서야 떠오른 기억에 맞서
밤마다 싸워가는 중이야 너도 그랬어?
잊혀지다가도 또 멈춰
이 자리에서 널 기다려"
디카페인(decaffeine) (Feat. BB),"10,018",Option,"이제 내 차례야 비켜 비켜 디카페인
예전 것들은 잊어 잊어 lady
나한테만 집중해 줬으면 해
걱정은 넣어둬 이후가 뭐가 됐던
널 내 여자로 만들 거고 날씨 좀 봐
가사만 적어선 담을 수 없잖아 널
같은 선상에 위치한 내가 아닐지라도
비교하지마 남들과 같은 일상이잖아
Like a baby 뭐든 들어주고 싶어
가끔 너는 말할 때
내 입을 보곤 했던 기억이
오늘 밤에도 네 생각에
잠이 오질 않아 like
디카페인 카페인
너를 데려가고 싶어
분위기가 좋던 그 카페
앉아서 또 별일 없던
너의 하루를 듣고 싶어 난
네 기분이 좋을 때까지
잠이 들지 않을게 like 카페인 카페인
이제 내 차례야 비켜 비켜 디카페인
예전 것들은 잊어 잊어 lady
나한테만 집중해 줬으면 해
걱정은 넣어둬 이후가 뭐가 됐던
널 내 여자로 만들 거고 날씨 좀 봐
가사만 적어선 담을 수 없잖아 널
같은 선상에 위치한 내가 아닐지라도
비교하지마 남들과 같은 일상이잖아
애교 섞인 듯한 말투
알 수 없는 둘만의 애칭까지도
이제 다 온 거 같아 decaffeination
불필요한 것들은 전부 걸러내
2번째인 것들도 뒤로 빼
사실은 내 음악의 주제가 네가 되는
마법을 부린 거 같아 피터 팬
처처럼 더 이상 크지 않아도 돼
너는 나만 믿고 따르기에
부족함 없이 채워줄 게 널
네 세상에는 나만 존재하기를
이제 내 차례야 비켜 비켜 디카페인
예전 것들은 잊어 잊어 lady
나한테만 집중해 줬으면 해
걱정은 넣어둬 이후가 뭐가 됐던
널 내 여자로 만들 거고 날씨 좀 봐
가사만 적어선 담을 수 없잖아 널
같은 선상에 위치한 내가 아닐지라도
비교하지마 남들과 같은 일상이잖아"
미안하다는말이제일어려워,"11,779",Ruru (루루),"이젠 서로 보지 못하겠지만
추억으로만 남겨질 테니까
그걸로 난 괜찮아
이젠 서로 보지 못하겠지만
남보다 못한 사이 되긴 싫으니까
우리가 만나왔던 시간 동안
나 후회했던 적은 한번 없으니
너도 같은 생각이길 나는 바라고
한 번쯤 연락 오지 않을까
사실은 연락 오길 매일 기다려
너무 보고 싶어 미안해
혼자 울 때 내가 몰라줘서 미안해
소홀하고 변해가서 내가 미안해
너무 보고 싶어 미안해
혼자 울 때 내가 몰라줘서 미안해
소홀하고 변해가서 내가 미안해
너무 보고 싶어 미안해
이젠 서로 보지 못하겠지만
추억으로만 남겨질 테니까
그걸로 난 괜찮아
이젠 서로 보지 못하겠지만
남보다 못한 사이 되긴 싫으니까
(너무 보고 싶어 미안해)"
그러니까 (Feat. Colde),"59,543",헤이즈 (Heize),"누가 더 잘못 했고 그런 건
어젯밤까지나 중요했었지
눈 떴을 때
네가 없어져본 적은 없었으니까
불러도 대답 없던 적은 없으니까
나는 이제 네가 아파도 몰라
네가 보여도 난 못 가
말이 돼
지금 내가 말하는 것들이
아니 잠깐 그러니까
우리 이제 못 보는 거야
세상에서 가장 가까웠던
너와 내가
아님 잠깐 아주 잠깐 동안만
못 보는 거야
화가 나서 투정 부린 거야
잘 알잖아
그러니까 너와 내가 지났던
기억들과 빛나던
시간들은 여기까지야
이러지마 라고 네게 말했던
마지막 그 순간 속에
난 여전히 살고 있는데
아니 잠깐 그러니까
우리 이제 못 보는 거야
세상에서 가장 가까웠던
너와 내가
아님 잠깐 아주 잠깐 동안만
못 보는 거야
네가 없이 잘 웃지 못하는
날 알잖아"
