Title,Likes,Singer,Lyrics
4시 44분 (feat. 휘인 of 마마무),"24,072",박봄 (Park Bom),"내 기분 딱히 말하자면 몽환적이에요
내 가슴 딱히 보이자면 몽환적이에요
내 감정 굳이 표현하면 몽환적이에요
몽환적 몽환적 몽환적 지금 4시 44분
울고 싶지도 않아
웃고 싶지도 않아요
잠도 안 오고
떠나버린 그대가 자꾸 미워져요
어디서부터 잘못된 걸까요
날 사랑한다 그 말 진심이었겠죠
근데 왜 나는 자꾸만 눈물이 나죠
말해줘요 날 잡아줘요 제발 제발
내 기분 딱히 말하자면 몽환적이에요
내 가슴 딱히 보이자면 몽환적이에요
내 감정 굳이 표현하면 몽환적이에요
몽환적 몽환적 몽환적 지금 4시 44분
4시 44분
4시 44분
눈을 감을수록 더욱 선명하게 보여
너의 모습 때문에 나 눈을 떠
때문에 나 눈을 떠
자꾸만 길어지는 밤과의 끊임없는
싸움에서 지고 나는 불을 켜
지고 나는 불을 켜
난 이제 혼자지만
But you still live in my mind
그게 날 bother me now
what should I do
어떻게든 버텨야지 in the end
울고 있는 나를 발견하지
This is the story end
어디서부터 잘못된 걸까요
날 사랑한다 그 말 진심이었겠죠
근데 왜 나는 자꾸만 눈물이 나죠
말해줘요 날 잡아줘요 제발 제발
내 기분 딱히 말하자면 몽환적이에요
내 가슴 딱히 보이자면 몽환적이에요
내 감정 굳이 표현하면 몽환적이에요
몽환적 몽환적 몽환적 지금 4시 44분
멍하니 멍하니 멍하니
시간만 바라봐요 지금 4시 44분
가만히 가만히 가만히
시간만 바라봐요 지금 4시 44분"
Fresh,"5,548",Colde (콜드),"눈부신 sunshine
woo woo woo woo
빠져들어 deep eyes
woo woo woo woo
우린 끝없이 challenge
yeah eh eh eh
they call me a fresh ya
yeah eh eh eh
깊은 산 속 옹달샘 같은
눈으로 날 볼 때
투명한 이끌림
too much clean
oh new thang
시원한 바람처럼
너를 안아줄게
그런 날 보고 웃어줘
넌 싱그럽게
fresh
이 자유로운 느낌은 so
fresh
네가 나에게 닿을 때면
fresh
노을이 물든 하늘 처럼
be natural
on my skin
meet the fresh you
눈부신 sunshine
woo woo woo woo
빠져들어 deep eyes
woo woo woo woo
우린 끝없이 challenge
yeah eh eh eh
they call me a fresh ya
yeah eh eh eh
빨갛게 물든 입술은 plum
흑백 film에 색을 부어
no need som stuff
어지러운 거
하나 없이도 넌 빛나는 별 uh
나무 그늘 아래서
we just talkin’
서로 좋아하는
노랠 들으면서
몸과 마음은
비워져 점점
어떤 걸로도
설명할 수 없어
있는 그대로
it's more than makeup
그 누구보다도 아름다운걸
yellow shirts 마치 lakers
대화로 꽃을 피워 layered
매일 매일
I feel like sunday morning
매일 매일
새로운 날 발견해
fresh
이 자유로운 느낌은 so
fresh
네가 나에게 닿을 때면
fresh
노을이 물든 하늘 처럼
be natural
on my skin
meet the fresh you
눈부신 sunshine
woo woo woo woo
빠져들어 deep eyes
woo woo woo woo
우린 끝없이 challenge
yeah eh eh eh
they call me a fresh ya
yeah eh eh eh"
너만은 모르길,"5,977",애즈원,"Losing you is like a dagger through my heart
But I've gotta let you go
No more tears from missing you,
wishing you were here I've gotta more on alone

묻지 않았다면 끝내 몰랐다면 그냥 돌아서 버렸다면
나를 놓아주던 너의 그 마음을 모른 척 살았을 텐데
알아 사랑을 대신할 또 다른 이유로 널 다시 찾을까봐
내게 작은 무엇 하나도 남기지 않았단 걸
너무 그리워도 많이 힘들어도 혼자 견뎌야만 하겠지
늦은 후회들로 지친 눈물까지 네게 맡길 순 없을 테니
너의 기억에 갇힌 나날들을 너만은 모르길 바랄 뿐

I'm gonna make it through this
But I have just one last wish
That you'll never see how I'm hurting for you
알아 너무도 익숙한 너에게 다시는 기댈 수 없다는 걸
아직 남은 미련 마저도 버려야 한다는 것
너무 그리워도 많이 힘들어도 혼자 견뎌야만 하겠지
늦은 후회들로 지친 눈물까지 네게 맡길 순 없을 테니
너의 이름에 맺힌 아픔들을 너만은 모르길 바랄 뿐"
nvrmnd,"10,820",SOULBYSEL,"Do you really wonder bout me
or just having fun
Lets drink that Henry
all night long
Getting tipsy but you love me sure
You’ve been tryna shake me,
doesn’t matter
Soaking my throat by your curve
that I know
Is this love ?
Give you a ride
Deep to my side
Come just dive
You’re the one who got my eyes
all the time
Now I feel alive
give you a ride
Deep to my side
you’re the one who gave me wonder
All I know is what you want
Babe why you in a rush
Let me start it with a touch
Or do you wanna come to rub
movin’ my sweaty body upside down
Can’t stop it
cz you’re so stunnin’
Baby don’t hesitate to the top
can’t say I’m done
Just let me burn
I’m in love with your body
and soul deeply
I don’t mind if I’m drunk,
you got me for free
Lazy Lazy Lazy Lazy Lazy
yeah I’m lazy to get sober up
Maybe you’re poison to me
Give you a ride
Deep to my side
Come just dive
You’re the one who got my eyes
all the time
Now I feel alive
give you a ride
Deep to my side
you’re the one who gave me wonder
I just wanna enjoy this time
without thinking
hope we feel the same
and remember in the morning
Can I really trust the love
that you said to me
But one sure thing is
I do think about you"
TIMELINE,"1,291",문별 (마마무),"선의가 거짓을 만들고 반복되고
몇 번의 이별에
우릴 데려다 놓아도 똑같아
상처 주고 서로를 미워해
You will never know
잠깐의 아픔이 두려워 놓지를 못해

What am I supposed to do?
우린 이미 알고 있잖아

되돌릴 수 없는 TIMELINE, TIMELINE
되돌릴 수 없는 TIMELINE
이미 멈춰버린 TIMELINE

거짓은 의심을 만들고 반복되고
몇 번의 이별이
우릴 갈라놓아도 똑같아
상처받고 서로를 미워해
We will never know
계속될 아픔에 두려워 놓지를 못해

What am I supposed to do?
우린 이미 알고 있잖아

되돌릴 수 없는 TIMELINE, TIMELINE
되돌릴 수 없는 TIMELINE
이미 멈춰버린 TIMELINE

부서진 우릴 보는 게
시간이 지나면 다시 괜찮아질 거라는 네 말
끝이라는 걸 알면서도
깊이 새겨져 지우질 못해

되돌릴 수 없는 TIMELINE
이미 멈춰버린 TIMELINE"
헤어질 걸 알아,"32,216",폴킴,"헤어지자 했던 게
겨우 어제였는데 난 왜
아직 너의 집 앞을
떠나지 못해 기다리는지
아쉬움이 남아서
뭔가 하고 싶은 말이 더
있는 것도 아닌데
난 무엇을 원하는 건지
후회라고 하기엔
너무 단호했던 마음을
너무 쉽게 받아들여
버린 것도 바보 같지만
그리 어려울 것
하나 없을 것처럼 돌아선 난
헤어나지 못해
매일 밤 널 다시 부르고 있어
이대로 보낼 수 없어 난
후회할 거 다 알고 있어
결국엔 또 다른 이유로
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
여기 까질까
여기 까질까
하고 싶은 대로 뭐든
다 이룰 수 있을 것만 같아
큰소리치고선 축 내려앉은
어깨가 가여워
세상이 나를 등지고
외면하는 것만 같아
아무것도 아닌데
다 잃은 기분이야
이대로 보낼 수 없단 걸
우린 너무 잘 알고 있어
결국엔 똑같은 이유로
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
헤어질 걸 알아 let me go
다시 만나면
힘들 거 알아
또 헤어질걸
더 아프겠지
나만 아플걸
그럴 바에야
그럴 바에야
우리 헤어져"
신기루 (Fly Away With Me),"38,002",NCT 127,"Fly away with me baby
방금 귓가를 스친
어딘가 익숙했던 목소리
두 눈을 감아보면
어느새 다시 나를 부르고 있어
닿을 것 같아
나를 바라본 너의 눈에선
은하수가 흐르고
난 그걸 바라보았어
시간을 따라 둘이 걷다가 새긴
발자국 손 끝으로 이으면
별자리가 되었어
Cause tonight
난 너를 찾아가
가까이 다가가
너의 마음 속에
깊이 들어가면 깊이 흘러가면
It’s all right
이어지기 시작한
같은 꿈을 마주 봐
우린 이제부터
하나이길 원해 하나이길 바래
Fly away with me baby
같은 꿈속에 갇힌
심장 소리를 느끼고 있어
같은 느낌이겠지
어렴풋이 그렇게 상상만할 뿐
네가 내게 와 닿는 곳마다
피어나는 꽃
그걸 어루만지면
네 향기로 난 물들고
네가 소리 내 웃을 때마다
쏟아지는 별
멍하니 널 볼 때면
내게 흘러 들어와
Cause tonight
난 너를 찾아가
가까이 다가가
너의 마음 속에
깊이 들어가면 깊이 흘러가면
It’s all right
이어지기 시작한
같은 꿈을 마주 봐
우린 이제부터
하나이길 원해 하나이길 바래
깨고 나도 여전히
네가 느껴지는 공기
귀에 맴도는 멜로디
자연스레 흥얼거려
네가 그랬던 것처럼
눈을 감는 순간 다시
So fly away with me baby
Fly away with me baby
Fly away with me baby
너와 나 모든 걸 넘어가
맞닿은 이 순간
너는 고요하게
다시 스며들어 다시 스며들어
Oh my 꿈결처럼
달콤한 날 부른 목소리가
다시 아득해져 아직 꿈만 같아
아직 꿈만 같아
Fly away with me baby
Fly away with me baby"
바보,"6,841",혜령,"잘 지내죠 아프진 않은 거죠
어떻게 말을 건네볼까 하고 하룰 보냈죠
망설이다가 또 끊어 버린거죠
매일 난 아무말도 못하고서 듣고만 있죠

오늘도 그대 목소리 그 짧은 한 마디가
위로되어 나 살아가요

떠나갔죠 너무나 사랑했던 날 두고
바보같죠 아직도 울고있는 난 정말
모르겠죠 그대의 사랑이 행복해져 갈수록
나의 사랑은 눈물이 되는걸

별일없죠 그대 왜 받질 않고
언젠가부터 그대 아닌 사람 목소리였죠
망설이다가 걱정되 물어봤죠
그 후론 아무말도 못하고 울고만 있죠

나란걸 알았을텐데 그 짧은 한 마디
해주는게 그리 힘든가요

떠나갔죠 너무나 사랑했던 날 두고
바보같죠 아직도 울고있는 난 정말
모르겠죠 그대의 사랑이 행복해져 갈수록
나의 사랑은 눈물이 되는걸

참아낼 수 있을 꺼예요 지금 바보처럼 울지만
어떻게든 살겠죠 떠난 그대 말처럼 이젠 난

힘들겠죠 그대를 잊고 사는건 정말
바보같죠 아직도 사랑하는 나 그대
모르겠죠 그대의 사랑이 행복해져 갈수록
나의 사랑은 눈물이 되는걸

하지만 나의 사랑이 끝내 눈물 되더라도
정말 난 바본가봐요 -"
Missing Call (Feat. 수란),"7,507",LUCY,"왜 지울 수가 없을까
너의 전화번호
그 목소리까지
난 새벽이 지나도
너의 밤에서 혼자 헤매고 있어
내 마음을 울리는
시린 말들에 겨우 이제서야
그대를 쉽게
미워할 수 있을 줄 알았는데
내가 이런 우는 말투로
전화를 걸어도
넌 아무렇지 않을까
그냥 잘 지냈냐고
가끔 생각난다고
그런 한마디를 듣고 싶은 걸까
뚜 뚜 뚜 뚜 뚜 뚜 뚜 뚜
몇 번을 더 고민했는지
익숙한 번호의 부재중 Call
나랑 같은 걸까
너도 착각인 걸까 그냥
밤에 속아 전화한 걸까
어지러운 맘을 헤집어 이렇게
내 마음을 울리는
시린 말들에 겨우 이제서야
그대를 쉽게
미워할 수 있을 줄 알았는데
내가 이런 우는 말투로
전화를 걸어도
넌 아무렇지 않을까
그냥 잘 지냈냐고
가끔 생각난다고
그런 한마디를 듣고 싶은 걸까
시간이 흘러도 난
네게 남아있기를
그대만 괜찮다면
내게 전화해주기를
만약 너의 생각에
마음 아파지더라도
우린 괜찮아질 거야 지금보다"
나침반 (Feat. Mingginyu),"3,143",안재우,"잘 지내 이런 말이 좀 무색해질 만큼
눈치 없는 내가 할 만큼 했다
느껴질 즘
넌 떠나버렸고 이젠 내 곁에 없어
이 사실을 받아들이는 데
오랜 시간 걸린 이윤
정리하긴 아쉬웠었고
곁에 두긴 싫었었나 봐
이기적인 나의 모습에
그런 표정 지으면
나는 무슨 말을 해야 해
무슨 말이라도 해야 해
무릎이라도 꿇어야 해
그냥 좀 go way
잘 지내
이제 이런 말이 안 무색해
baby 너도 얼른 가서
행복하길 바랄게
이 반지도 정리해야겠네
너의 옷도 정리해야겠네
우리 맘이 같을 때
이제 선택해야 해
왼쪽 아님 오른쪽
난 더 이상 네 옆에
있을 수가 없는데
왼쪽 아님 오른쪽
우린 지금 갈림길에 서 있어
저기 돌아가면 우리 못 봐 더는
우린 지금 갈림길에 서 있어
저기 돌아가면 우리 못 봐 더는
못 보게 만든 건 너야
날 울게 만든 건 너야
이 지경까지 왔네
그냥 먼저 헤어지자고 말해
알아 넌 나쁜 사람 되기 싫은 거잖아
다 알아 날 사랑하지 않는다는 거
Luv me plz
Don't leave me
이런 말은 못 해 더 이상
You are free
얼마든지 떠나고 싶으면 떠나가
왼쪽 오른쪽 아님
뒤쪽 아님 앞쪽으로 가든
우린 다시 못 봐 더는
다신 안 볼 거야 너를
우리 맘이 같을 때
이제 선택해야 해
왼쪽 아님 오른쪽
난 더 이상 네 옆에
있을 수가 없는데
왼쪽 아님 오른쪽
우린 지금 갈림길에 서 있어
저기 돌아가면 우리 못 봐 더는
우린 지금 갈림길에 서 있어
저기 돌아가면 우리 못 봐 더는"
