Title,Likes,Singer,Lyrics
"Destiny, it's just a tiny dot.","5,165",헤이즈 (Heize),"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기"
집 앞 카페,"7,001",2PM,"이따가 낮에 넌 뭐해
나랑 우리 집 앞 카페
거기서 커피 한잔할래
할 일은 많지 진짜
근데 손에 잡히질 않지
널 처음 만났던 그 날 그 뒤로
너만 떠올라 매일
웃음이 멈추질 않아
생각이 계속 나
너의 얼굴만
문자를 계속 봐
너와 나눈 말
어떡하면 나 좋을까
이렇게나 좋을까
빠져 드나 봐 빠져 있나 봐
오늘은 뭐해 주말인데 쉬는 날인데
만약 약속 없다면 너만 좋으면
낮에 넌 어때 해가 좋을 때
우리 집 바로 앞에
나랑 집 앞 카페
한적한 곳이라 딱인데
예쁜 카페
너가 좋아하는 커피 한잔에
마주 앉아서 얘길 나누면
어떨까 묻고 싶어
너랑 집 앞 카페
하루종일도 난 좋은데
예쁜 카페
너가 맘에 드는 커피 한잔에
우릴 조금 더 알아가는 건
어떨까 궁금해져
집 앞 카페
Girl 난 네가 했던 말
그게 왠지 신경 쓰였어
가끔은 조용한 곳에 가고 싶다 해서
어디가 좋을지 고민했어
아주 가까이에 있었네
이번 주 일만 한 너 진짜로 멋져 고생했어
지나간 건 잊어버려
아무 생각 말고 그냥 숨만 쉬어
너에게 필요해 보이는 따뜻한 공간
널 위해 미리 준비된 난 너만의 시간
오늘은 뭐해 주말인데 쉬는 날인데
만약 약속 없다면 너만 좋으면
아니면 밤에 우리 집은 어때
언제든 난 괜찮은데
나랑 집 앞 카페
한적한 곳이라 딱인데
예쁜 카페
너가 좋아하는 커피 한잔에
마주 앉아서 얘길 나누면
어떨까 묻고 싶어
너랑 집 앞 카페
하루종일도 난 좋은데
예쁜 카페
너가 맘에 드는 커피 한잔에
우릴 조금 더 알아가는 건
어떨까 궁금해져
집 앞 카페
왠지 오늘 나
너에게 모두 말할 것 같아
같이 하고 싶은 게 많아
다 너랑만
어때
나랑 집 앞 카페
어때 넌
어때
나랑 집 앞 카페
어때
나랑 집 앞 카페
한적한 곳이라 딱인데
예쁜 카페
너가 좋아하는 커피 한잔에
마주 앉아서 얘길 나누면
어떨까 묻고 싶어
너랑 집 앞 카페
하루종일도 난 좋은데
예쁜 카페
너가 맘에 드는 커피 한잔에
우릴 조금 더 알아가는 건
어떨까 궁금해져
집 앞 카페
이따가 낮에 넌 뭐해
나랑 우리 집 앞 카페
거기서 커피 한잔할래"
떨어지는 꿈 (Feat. pH-1),"1,721",ELO,"떨어지는 기분
난 어디쯤일까 지금
계속 떨어지는 기분
잠에서 깨니 밤 10시쯤
빨리 빨리 전부 다
빨리 빨리 너보다
빨리 빨리
Don’t waste my time waste my time
빨리 빨리 전부 다
빨리 빨리 다들 화내기만 하지
Don’t waste my time waste my time

아무도 없는 절벽 끝에 서 있어 난 또
땅에 처박힌 내 모습이
매일 밤 날 찾아와

떨어지는 꿈을 꿨었지
아주 높은 곳에서 떨어져
눈 떠보니 아무도 없었지
자꾸만 내 꿈에서 멀어져
And I’m falling falling
끝없이 떨어지는 꿈
And I’m falling falling
끝없이 떨어지는 꿈

땀이 가득한 내 손바닥
꿈속에선 모두가 날 못 박아
가쁜 숨으로 난 다시 눈감아
멀리 떨어져 있었지 너와 나
I wanna wake up from this nightmare
빠르게 추락하는 꿈을 꿨었네
무시하고 넘어가 버리고 싶어도
계속 맘에 걸리는 걸 It’s gotta mean something
I’m here suffering
자꾸 제자리를 맴도는
내 삶은 걸린 것 같애 버퍼링
일어나 이러다 기회 다 지나가
Can somebody please stop my falling

아무도 없는 절벽 끝에 서 있어 난 또
땅에 처박힌 내 모습이
매일 밤 날 찾아와

떨어지는 꿈을 꿨었지
아주 높은 곳에서 떨어져
눈 떠보니 아무도 없었지
자꾸만 내 꿈에서 멀어져
And I’m falling falling
끝없이 떨어지는 꿈
And I’m falling falling
끝없이 떨어지는 꿈"
다른 별 (Feat. Lovey),"20,999",브라더수,"Hey why you mad at me
이유라도 알자 girl
그렇게 찡그리고만 있으면
My heart is beatin so fast
내 속이 바싹 바싹 타 들어가
미치겠어
Why don't you understand me boy
왜 몰라
니가 예쁘다 그랬던 옷 입었는데
넌 관심도 없고 친구 문자
톡에만 답장하고 있잖아
왜 그래 얘길 해 봐
꼭 말을 해야 알아
말 안 하면 How do I know
그럼 좀 서운해져
답답해 oh
그 소설 제목이 일리가 있는 걸
우리는 아마도
다른 별에서 태어나
서롤 만난 게 맞나 봐
첫 눈에 알아본 우리인 걸
알아도 어쩔 수 없는 우린
다른 별 다른 별 다른 별 다른 별
다른 별에서 왔나봐
그래선지 다른 게
많은 걸 많은 걸 많은 걸 많은 걸
많은 걸 Yeah
Hey why you mad at me
사과하고 있잖아 girl
그렇게 뭘 잘못했냐 물으면
어느 노래 가사 같이
머릿 속이 하얗게 돼버리잖아
Why don't you understand me boy
매번 같은 이유로
똑같이 다투고 있는 걸
넌 아는지 아님 단지 이번만
넘어가보려는 건지
궁금해 얘길 해 봐
미안하다잖아
말 안하면 How do I know
우 이거 피곤한 걸
답답해 oh
그 소설 제목이 일리가 있는 걸
우리는 아마도
다른 별에서 태어나
서롤 만난 게 맞나 봐
첫 눈에 알아본 우리인 걸
알아도 어쩔 수 없는 우린
다른 별 다른 별 다른 별 다른 별
다른 별에서 왔나봐
그래선지 다른 게
많은 걸 많은 걸 너무 많은 걸
많은 걸 Yeah"
Summer Love,"13,971",Crush,"파란색 파란색
파란색 바다 위에
햇살은 따뜻해
파란색 파란색
끝이 없는 수평선은
내 마음 같애
니 손에 올려주고 싶어 파란 하늘
잡힐 듯 잡히지 않으니까
평생 간직하고 싶은데 너와 나를
저 해질녘처럼
행복의 순간은 넘 짧아
비록 나의 파도가
거칠게 치더라도
가끔 널 힘들게 하더라도
옆에서 매일 불어줄 거야
따뜻한 바닷바람이 돼서 난
굳이 신발도 필요 없어
아무도 닿지 못해
너와 나만 아는 곳
모든걸 내려놓고 머물고 싶어
너와 단 둘이 걷고 싶어
새파랗게 물들이고 싶어
이 순간을 기억해
언제나 곁에 있을게
no matter what
I’ll always be with you
fallin in love again
summer love summer love
summer love summer love
summer love summer love
summer love summer love
summer love summer love
summer love summer love
fallin in love again
발 밑에 바다
깊은 세상을 알 수 없듯이
우리의 사랑도 어디로 향하는지
알 수 없지만
모든걸 내려놓고 머물고 싶어
너와 단 둘이 걷고 싶어
새파랗게 물들이고 싶어
no matter what
I’ll always be with you
fallin in love again
summer love summer love
summer love summer love
summer love summer love
summer love summer love
summer love summer love
summer love summer love"
전화끊지마 (Feat. pH-1),"10,248",SURAN (수란),"음 별거 아니고
그냥 보고 싶어서
전화해봤어
바쁘다면서
지금은 괜찮다고
아 그래 그래 그래
이렇게라도 목소리 들어서 좋아
끝이라고 지른 건 미안해
난 네 눈에는 보이지 않던걸
나보단 일 나보단 친구가 항상
먼저였잖아 넌
알아 알아 알아
이제 와서 부질없단 건
But I still love you
Please don’t don’t hang up
Baby 아직까지 난
니 목소리에 떨려
You know I still love you
Please don’t don’t hang up
Baby 전화 끊지 마
Please don’t be sensitive to me
제발
넌 요즘 들어
네가 저지른 것을
기억하지 못하는 모습
Baby 네 자체가 모순
And then again
brrp hello
저녁이 지나고 날 때쯤
다시 연락이 와
But we haven’t really talked
in a while
너를 향한 독
많이 차 있대도
I feel like that’s love
But we let that go mm
나에게 미안
하다며 진 빠지는 얘길 하지
None of my business
I’m tryna be mean
But you making me weak
네 단호한 말투 어이없어
넌 내 눈에는 쿨하지 않던걸
SNS 날 보란 듯
우리 얘길 올렸잖아 넌
알아 알아 알아
흔들리는 너의 마음을
But I still love you
여보세요
Please don’t don’t hang up
Baby 아직까지 난
니 목소리에 떨려
You know I still love you
Please don’t don’t hang up
Baby 전화 끊지 마
Please don’t be sensitive to me
제발
잘 지내냔 쉬운 말을 연습하고서
네 번호를 눌렀어
이런 내가 미울까
더 기다려볼까
손을 뗐다 댔다
You know how I feel
Please don’t don’t hang up
Baby 아직까지 난
니 목소리에 떨려
You know I still love you
Please don’t don’t hang up
Baby 전화 끊지 마
Please don’t be sensitive to me
제발
아직 보고 싶어"
백열등 (Light Bulb),"32,326",NCT U,"So I switch off
that wake up call

해가 떨어진 지 한참은 돼야
생활이 가능했던 내 시간표
턱없이 부족한 시간임을 알면서도
굳이 널 보려고
황급히 찾아가 봤지만
금방이라도
나가버릴 듯한 네 집 등은
우리의 사이를 표현하듯
on and off
and on and off and on
소홀해져 버린 나를 꾸짖듯이
깜빡이는 등이
네가 투정이라도 부리듯이
벌써 이게 몇 번째야
내가 덜렁대
의미 없는 감정싸움에
할퀴고 상처 내는 서로
더 멀어지지 않게
넌 선을 지키고 있지만
내 평판은 이미 바닥이지
너의 친구들 사이에서

so I switch off 너를 꺼둘게
so I switch off 나를 깨우게

so I switch off
널 잊어 보려 하거든
so I keep up with my own thing
don't keep up with my 소식
I need more of that wake up calls
that wake up call
여전히 깜빡이는 등을 끄고
뒤돌아서면

흔들거리는 백열등 같아
깜빡깜빡
금방이라도 꺼질 것 같아
깜빡깜빡

깜빡 깜빡거리는 걸
깜빡깜빡 거리며
흔들리는 나인데

벽에 보란 듯이 붙여 논
사진 속 너와 내 얼굴엔
행복해 죽겠다는 듯하지만
지금은 찾아볼 수 없지
죽어라 인상 쓰기 바쁘니까
nobody loves that
싸우고 싶은 게 어딨어
도대체 널 울리고 싶은 게 어딨어
말도 안 되는 말들로
날 붙잡았다 밀쳤다
서로에게 유리한 일들만
기억해뒀다 지웠다
and that’s a chaos
who loves more who loves more
둘 중 누가 몇 번 더
그만하자 말했고 누가 더
지쳐있는지를 끝까지 알아야겠다는 널
더 이상은 내가 더
감당할 수 없을 거 같아

so I switch off 너를 꺼둘게
so I switch off 나를 깨우게

so I switch off
널 잊어 보려 하거든
so I keep up with my own thing
don't keep up with my 소식
I need more of that wake up calls
that wake up call
여전히 깜빡이는 등을 끄고
뒤돌아서면

흔들거리는 백열등 같아
깜빡깜빡
금방이라도 꺼질 것 같아
깜빡깜빡

깜빡 깜빡거리는 걸
깜빡깜빡 거리며
흔들리는 나인데

벽에 보란 듯이 붙여 논
사진 속 너와 나의 얼굴엔
(I've been awaken all night long)
아직 미련이 보여
왜 보기 싫은 건데
눈이 시려와
너를 잠시 꺼둘래 꺼둘래

흔들거리는 백열등 같아
깜빡깜빡
금방이라도 꺼질 것 같아
깜빡깜빡

깜빡 깜빡거리는 걸
깜빡깜빡 거리며
흔들리는 나인데

깜빡 깜빡거리는 걸
깜빡깜빡 거리며

so I switch off
널 잊어 보려 하거든
so I keep up with my own thing
don't keep up with my 소식
I need more of that wake up calls
that wake up call
여전히 깜빡이는 등을 끄고
뒤돌아서면"
"쪽빛 황홀 (Indigo Ecstasy, Higher) (Feat.정영은,XenomiX)","1,330",마크툽 (MAKTUB),"Lots of Stars
Like fireflies in my forest
To you my light
Yeah yeah
You Complete me
Ocean of light 영롱한 빛으로
Dive Dive Dive
너의 비밀의 바다 깊은 곳
Fall Fall Fall
Up all night 꿈을 꾸듯
Feel so High High High
쪽빛 파도의 황홀을 유영해
Wow Wow Wow
네가 좋아하는 색깔로
이 밤을 덧칠해
내 머릿속은
이미 나의 것이 아냐
San francisco Tokyo
Las Vegas X day`s light
소란한 혜성과
고요한 별의 마주침 같아
날 위해 만들어진
여름의 속삭임 같아
Ocean of light 영롱한 빛으로
Dive Dive Dive
너의 비밀의 바다 깊은 곳
Fall Fall Fall
Up all night 꿈을 꾸듯
Feel so High High High
쪽빛 파도의 황홀을 유영해
Wow Wow Wow
반쯤 감긴 눈으로
네 품에 닿을때
시간을 멈춰
비에 달이 젖는구나
네가 너무 좋아 미쳤어 Baby
정말 완벽해 숨이 멎을 것 같아
어린 날 꾸던 꿈의 완성 같아
내게만 부는 바람 같은 너
오늘 너를 위해
이 밤 전부를 빌렸어
네가 더 빛날 수 있게
설레 I can't even feel my face
괴로움을 지우지 함께
완벽을 담은 너의 눈빛
눈앞에 둘 때마다
너의 숨결은 황홀을 데려와
My color type은 OFF WHITE
벗어 페르소나
주도할게 수놓아도 돼 이곳에
You know my name 매일이 X'days에
어딜 봐도 오로라가 펼쳐져 감는 눈
원하는 대로
밤이 이끄는 대로
자유롭게 둘만의 춤을 출 거야
다른 누구도 아닌
우리의 방식대로
내가 원하는 대로
네가 원하는 대로
Ocean of light 영롱한 빛으로
Dive Dive Dive
너의 비밀의 바다 깊은 곳
Fall Fall Fall
Fall like As
if it were the last time
Up all night 꿈을 꾸듯
Feel so High High
쪽빛 파도의 황홀을 유영해
Wow Wow Wow
Wow
Da la da da dive
Up all night 꿈을 꾸듯
Feel so high baby
쪽빛 파도의 황홀을 유영해"
Flash (Prod. 박문치),"2,008",권은비,"넌 가끔씩 내게 마음을 숨겨
눈치 없는 얘길 늘어놓고
자꾸 그럴 때면 나도 조금 숨겨
왜 내게 풀지 못할 기분을 또 안겨놔
Want you to give me
what I lookin’ for I really lookin’
애매한 말로 날 작아지게 해
Want you to give me
what I lookin’ for I really love
느낌이 맞다면 좀 더 확실하게 Babe
Give me a flash
Want your flash
Make a rush
눈이 부시도록 가까이
내 맘까지 닿게 Over it
비춰주면 (난)
눈 맞춰 웃어줄게
나를 담은 선명한 Love light
자연스레 콧노랠 부르게 해
(Du Ru Ru~)
마치 내게 기대하는듯한
그 반짝거리는 두 눈빛이 날
기분 좋을 만큼 어지럽게 해
좋은 대답이 됐어?
Step it 왼발
Step it 오른발
내 손등과 네 손끝이
맞닿는 순간을 더 원한다고 말이야
Want you to give me
what I lookin’ for I really lookin’
넌 어떤 우리가 맘에 들어?
Want you to give me
what I lookin’ for I really love
네 맘도 같다면 좀 더 확실하게 Babe
Give me a flash
Want your flash
Make a rush
눈이 부시도록 가까이
내 맘까지 닿게 Over it
비춰주면 (난)
눈 맞춰 웃어줄게
나를 담은 선명한 Love light
자연스레 콧노랠 부르게 해
(Du Ru Ru~)
Want your flash
Give me a flash
So let you say
So let you say
Give me a flash
Want your flash
Make a rush
Give me a flash
So let you say"
Missing You (Feat. Dvwn),"1,291",SOOVI,"Gone away
you took my heart
and gave it burning pain
Gone away
흐려진 기억만이 감싸 안네
Pourin rain
You liked the weather that
I used to hate
왠지 빗소리에
마음을 숨길 곳을 찾아 헤매
By the time
when leaves start fallin
The bitter-sweetest memories
still haven’t departed
Is it a mistake
To say I’m missing you
I’m missing you
막이 내렸지만
Every now and then
Do you feel it too
You feel it too
뻔한 결말일까
Ooh ooh ooh ooh
Ooh ooh ooh ooh
The world we created again
Ooh ooh ooh ooh
Ooh ooh ooh ooh
Crumbling down to pieces
Still have a special place
deep down in my soul eternally
지나간 시간에
눈부셨던 너와 나를 그리워해
By the time
when leaves start fallin
the bitter-sweetest memories
still haven’t departed
Is it a mistake
To say I’m missing you
I’m missing you
막이 내렸지만
Every now and then
Do you feel it too
You feel it too
뻔한 결말일까
미처 다 보지 못한 영화를 두고
나온 거리는 전부 젖고 있어
이 지긋한 소나기는 매번 그랬듯
예고 없이 쏟아지는 걸
세상이 멍들었다 말해줬던 넌
내게 멍을 주고 떠났네
너는 그렇게
젖은 머릿 속에
무성 영화처럼 남을 거야
By the time
when leaves start fallin
The bitter-sweetest memories
still haven’t departed
Is it a mistake
To say I’m missing you
I’m missing you
막이 내렸지만
Every now and then
Do you feel it too
You feel it too
뻔한 결말일까
Ooh ooh ooh ooh
Ooh ooh ooh ooh
The world we created again
Ooh ooh ooh ooh
Ooh ooh ooh ooh
Crumbling down to pieces"
남은 게 없지만 넌 그대론데,160,새벽,"텅 비어있는 마음을 난 알지만
뭘 채워보기 위해 노력했지만
넌 그대론데

사랑을 담아 너에게 다 줬지만
내게는 남은 게 하나도 없지만
넌 그대로인데 뭘

잃어버린 것도 많지만
사랑이라고 다 줬지만
남아있는 건 뭐 없지만
변하지 않는 널 알지 난

마음에 상처를 남길까 봐
보내도 괜찮은 말을 찾아
그런 것도 없지만

사랑이라고 다 줬지만
잃어버린 건 너무 많지만
마음은 그대로 였지만
변하지 않을 널 알지 난

너에게 상처를 남길까 봐
닿아도 괜찮은 말을 찾아
그런 것도 없지만

우린 어떡해야 괜찮은 걸까
좋은 결말인 걸까
혼자 고민하지만

너도 느꼈을까
어긋난듯한
미묘한 부딪힘과
그때 내 표정들

솔직히 말해 너는 그냥 피해
망상인 것 같았어 네 주위엔
너를 좋아했던 사람도 있기에
근데 그런 사람들을 계속 피했고

좋은 시간들을 피했고
우울해지기는 쉬웠어
나는 전혀 이해 못했었지만
그냥 위로해야만 했었지 난

우린 분명히 무겁지만
너란 강물에 숨 막히다
끝까지 가라앉을까

우린 분명히 뜨겁지만
타고 남은 것도 늘잖아
검게 남은

비에 다 젖었지만
뜨거웠던 너는 남지 않아
그을린 자국을 만지다가
그렇게 나는 돌아간다고

잃어버린 것도 많지만
사랑이라고 다 줬지만
남아있는 건 뭐 없지만
변하지 않는 널 알지 난

마음에 상처를 남길까 봐
보내도 괜찮은 말을 찾아
그런 것도 없지만

사랑이라고 다 줬지만
잃어버린 건 너무 많지만
마음은 그대로 였지만
변하지 않을 널 알지 난

너에게 상처를 남길까 봐
닿아도 괜찮은 말을 찾아
그런 것도 없지만

넌 몰랐을까
그때에 혼자
남겨진 내 모습과
그때 네 표정들"
Baby it’s you,135,나인(NINE9),"볼을 스치는 바람이 너무 달아서
꿈을 꾸듯 나도 모르게 두 눈을 감아요
이 순간을 작은 유리병에 담아서
조심스레 그대 두 손에 꺼내주고파요

Baby it’s you
사랑에 빠졌나봐요
하루종일 그대 생각에
숨이 가빠와요
Baby it’s you
내 맘이 애타기 전에
흩날리는 저 꽃잎처럼
살며시 내게 다가와줘요

그대를 만날 시간이 가까워질수록
나의 일상은 더 느리게 흘러가나봐요
나도 모르게 새어나오는 기쁨들을
누가 알아챌까 애꿎은 내 신발만 봐요

Baby it’s you
사랑에 빠졌나봐요
하루종일 그대 생각에
숨이 가빠와요
Baby it’s you
내 맘이 애타기 전에
흩날리는 저 꽃잎처럼
살며시 내게 다가와줘요

그대 마음 어디쯤 왔나요
내 마음과 함께 걷고 있나요

Baby it’s you
온 세상이 그대라서
멀리 있던 행복이 내게
다가온 듯 해요
baby it’s you
이젠 두렵지 않아요
지금처럼 망설임없이
천천히 내게 다가와줘요

Baby it's you Baby it’s you
Baby it's you You are the one my love

나 깨달아요

Baby it's you Baby it’s you
Baby it's you You are the one my love

천천히 내게 다가와줘요"
Emergency,486,P1Harmony,"It’s an Emergency
정신없이 날아 DJ
제한 없는 질주 Freeway
취한 듯한 너의 Move
누굴 위한 노래 Ooh yeah

비상 비상사태야
예상 밖이야
비스듬 세상이 영 이상해
그럼 안 돼
Always confused
벗어나자 혼란 속 Yes

Oh my god
We turn it up loud
No turning it down
So turn it up louder
Oh my god
끝을 향해 달려 Woah

It’s an Emergency
La la la
타오르지
La la la
위험하지
La la la
Break it down like
Check 1, 2 Check 1, 2, 3
Oh Ay
혼란에 빠진 지금이
Oh Ay
It’s an Emergency

It’s an Emergency
내 보기엔 아무래도 여긴 긴급해
A급 아닐 바엔 난 완벽한 B급 해
비굴할 바엔 다 까발리고
Bring back protocol button
누르고 뻐끔 없이 두 발 빼
Emergency Emergency 길어진 혀 새치
때가 됐지 치워 백이면 백
Back it up like beep beep
경적 울려 Better check it ya

Oh my god
We turn it up loud
No turning it down
So turn it up louder
Oh my god
끝을 향해 달려 Woah

It’s an Emergency
La la la
타오르지
La la la
위험하지
La la la
Break it down like
Check 1, 2 Check 1, 2, 3

Oh Ay
혼란에 빠진 지금이
Oh Ay
It’s an Emergency
It’s an Emergency

거짓으로 가득한 건 Stop now
위험을 알리는 Call 새로운 World
이젠 Time is up
더 늦기 전에
Oh baby let’s go change it

Oh my god
We turn it up loud
No turning it down
So turn it up louder
Oh my god
끝을 향해 달려 Woah
Yeah

It’s an Emergency
La la la
타오르지
La la la
위험하지
La la la
Break it down like
Check 1, 2 Check 1, 2, 3

Oh Ay
혼란에 빠진 지금이
Oh Ay
It’s an Emergency"
